Ville;adresse_full;Latitude;Longitude;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;participants_occurrence;description_libre;lien
Rouen;Rouen France;49.443232;1.099971;14000;CGT;7900;;;;;https://www.paris-normandie.fr/id403217/article/2023-04-06/direct-manifestations-du-6-avril-blocages-au-havre-rond-point-bloque-fecamp
Albi;Albi France;43.9250853;2.1486413;;;;8000;La Dépêche;;;https://www.ladepeche.fr/2023/04/06/direct-reforme-des-retraites-manifestations-blocages-suivez-la-11e-journee-de-mobilisation-contre-le-projet-de-loi-11114000.php
Perpignan;Perpignan France;42.6886591;2.8948332;15000;intersyndicale;4700;;;;;https://actu.fr/societe/greve-du-6-avril-blocages-manifestations-le-point-sur-la-situation-en-occitanie_58722076.html
Valence;Valence France;44.933393;4.89236;15000;CGT;4200;;;;;https://www.francebleu.fr/infos/economie-social/en-direct-suivez-la-11e-journee-de-mobilisation-retraites-en-drome-et-en-ardeche-6958500
Poitiers;Poitiers France;46.580224;0.340375;8000;CGT;4000;;;;;https://www.lanouvellerepublique.fr/poitiers/poitiers-onzieme-manifestation-contre-la-reforme-des-retraites-ce-jeudi-6-avril-2023-direct?queryId%5Bquery1%5D=57cd2206459a452f008b4594&queryId%5Bquery2%5D=57c95b34479a452f008b459d&page=2&pageId=57da5cf9459a4552008b4b2b
Amiens;Amiens France;49.894067;2.295753;;;;;;;;
Le Mans;Le Mans France;48.00611;0.199556;10000;;4200;;;;;https://actu.fr/pays-de-la-loire/le-mans_72181/greve-du-6-avril-blocages-manifestations-suivez-la-situation-en-sarthe_58721156.html
La Roche-sur-Yon;La Roche-sur-Yon France;46.670511;-1.426442;6000;;3100;;;;;https://www.ouest-france.fr/economie/retraites/direct-greve-du-6-avril-manifestations-perturbations-suivez-la-mobilisation-en-vendee-85b31358-d393-11ed-99f5-cf54f2f7aae2
Foix;Foix France;42.964127;1.605232;11000;;2500;;;;;https://www.ladepeche.fr/2023/04/06/direct-reforme-des-retraites-manifestations-blocages-suivez-la-11e-journee-de-mobilisation-contre-le-projet-de-loi-11114000.php
Béziers;Béziers France;43.344233;3.215795;;;2000;;;;;https://www.francebleu.fr/infos/economie-social/photos-pres-de-12-000-manifestants-dans-les-rues-de-montpellier-contre-la-reforme-des-retraites-2591280
Brive;Brive France;45.159555;1.533937;;;;;;;;
Angers;Angers France;47.4711616;-0.5518257;7000;;;;;;;https://www.ouest-france.fr/economie/retraites/direct-greve-du-6-avril-les-manifestations-et-blocages-a-angers-cholet-saumur-et-segre-63754260-d3ad-11ed-99f5-cf54f2f7aae2
Chambéry;Chambéry France;45.564601;5.917781;;;;;;;;
Angoulême;Angoulême France;45.648377;0.1562369;8000;;3000;;Charente Libre;;;https://www.charentelibre.fr/charente/greve-round-11-occupation-des-voies-a-la-gare-d-angouleme-et-blocage-sur-la-zone-euratlantic-de-fleac-14703116.php
Le Puy-en-Velay;Le Puy-en-Velay France;45.042768;3.882936;7000;;2400;;La Montagne;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/gouvernement-inflexible-contre-intersyndicale-determinee-suivez-la-journee-de-mobilisation-contre-la-reforme-des-retraites_14289594/
Périgueux;Périgueux France;45.184029;0.7211149;4500;;2700;;Sud Ouest;;;https://www.sudouest.fr/economie/social/greve/direct-greve-du-6-avril-suivez-les-temps-forts-de-la-journee-14703188.php
La Rochelle;La Rochelle France;46.160329;-1.151139;6000;;2200;;;;;https://www.sudouest.fr/economie/social/greve/direct-greve-du-6-avril-en-charente-maritime-suivez-les-temps-forts-de-la-mobilisation-14704022.php
Metz;Metz France;49.1193089;6.1757156;9000;;4800;;;;;https://www.republicain-lorrain.fr/social/2023/04/06/reforme-des-retraites-nouvelle-journee-de-mobilisation-a-metz-et-a-longwy
Saint-Nazaire;Saint-Nazaire France;47.2734979;-2.213848;10000;intersyndicale;;;;;;https://www.francebleu.fr/infos/economie-social/reforme-des-retraites-11-journee-de-manifestation-en-loire-atlantique-et-vendee-5289418
Beauvais;Beauvais France;49.4295387;2.0807123;5500;;2500;;;;;https://actu.fr/societe/greve-du-6-avril-piquets-de-greve-manifestations-blocages-suivez-notre-direct_58714927.html
Tours;Tours France;47.394144;0.68484;8000;;4300;;;;;ok
Lorient;Lorient France;47.7482524;-3.3702449;10000;intersyndicale;5200;;;;;https://www.ouest-france.fr/economie/retraites/direct-greve-du-6-avril-manifestations-blocages-la-situation-a-lorient-vannes-pontivy-ac7c8694-d236-11ed-96ad-1942048996da
Quimper;Quimper France;47.997542;-4.097899;;;;5000;;;;https://www.letelegramme.fr/finistere/quimper/a-quimper-la-zone-de-kerdroniou-toujours-bloquee-par-des-manifestants-direct-06-04-2023-13312617.php
Besançon;Besançon France;47.237829;6.0240539;5500;;4000;;;;;https://www.estrepublicain.fr/social/2023/04/06/reforme-des-retraites-suivez-l-acte-xi-de-la-mobilisation-en-franche-comte
Charleville-Mézières;Charleville-Mézières France;49.762085;4.726096;5300;;;;;;;https://www.lardennais.fr/id472717/article/2023-04-06/reforme-des-retraites-les-manifestants-prets-pour-le-depart-charleville-mezieres
Blois;Blois, France;47.5860921;1.3359475;4500;;3000;;;;;https://www.lanouvellerepublique.fr/blois/direct-reforme-des-retraites-11e-journee-de-mobilisation-en-loir-et-cher
Saint-Brieuc;Saint-Brieuc France;48.51418;-2.765835;8000;;;4000;;;;https://www.letelegramme.fr/cotes-darmor/saint-brieuc/reforme-des-retraites-nouvelle-action-des-lyceens-ce-jeudi-6-avril-a-saint-brieuc-06-04-2023-13312623.php
Châteauroux;Châteauroux France;46.811434;1.686779;3500;;2400;;La nouvelle République;;;https://www.lanouvellerepublique.fr/a-la-une/direct-onzieme-journee-de-mobilisation-contre-la-reforme-des-retraites?queryId%5Bquery1%5D=57cd2206459a452f008b4594&queryId%5Bquery2%5D=57c95b34479a452f008b459d&page=0&pageId=57da5ce0459a4552008b4567
Niort;Niort France;46.323716;-0.464777;;;;2500;Ouest France;;;https://www.ouest-france.fr/economie/retraites/direct-greve-du-6-avril-sur-les-retraites-les-manifestations-a-thouars-niort-bressuire-8243f456-d37c-11ed-8669-5c45fd74f594
Lannion;Lannion France;48.732084;-3.459144;6500;;3500;3750;Le Télégramme;;;https://www.letelegramme.fr/cotes-darmor/lannion/manif-contre-la-loi-retraites-a-lannion-les-jeunes-descendent-en-ville-en-direct-06-04-2023-13312795.php
Boulogne-sur-Mer;Boulogne-sur-Mer France;50.725231;1.613334;2000;intersyndicale;1100;;La Voix du Nord;;;https://www.lavoixdunord.fr/1312672/article/2023-04-06/direct-retraites-11e-journee-de-mobilisation-les-discussions-entre-les-syndicats
Evreux;Evreux France;49.027013;1.151361;;;;1300;Paris Normandie;;;https://www.paris-normandie.fr/id403368/article/2023-04-06/video-evreux-environ-1-300-personnes-ont-manifeste-contre-la-reforme-des
Morlaix;Morlaix France;48.577613;-3.828228;;;2400;2500;Le Télégramme;;;https://www.letelegramme.fr/finistere/morlaix/reforme-des-retraites-2-500-manifestants-dans-les-rues-de-morlaix-06-04-2023-13312851.php
Laval;Laval France;48.0785146;-0.7669906;6500;intersyndicale;2800;;;;;https://www.ouest-france.fr/economie/retraites/direct-greve-du-6-avril-manifestation-lycees-bloques-la-situation-a-laval-ce-matin-329c5cac-d3c4-11ed-99f5-cf54f2f7aae2
Dunkerque;Dunkerque France;51.0343684;2.3767763;;;;2500;La Voix du Nord;;;https://www.lavoixdunord.fr/1312895/article/2023-04-06/dunkerque-les-manifestants-opposes-la-reforme-des-retraites-ont-debute-leur
Mulhouse;Mulhouse France;47.750839;7.335888;3000;;2400;;;;;https://www.dna.fr/social/2023/04/06/retraites-manifestation-a-strasbourg-a-partir-de-14h#bd64acec-9974-426e-b79f-40bfde637c9f
Epinal;Epinal France;48.172402;6.449403;4000;intersyndicale;;;;;;https://epinalinfos.fr/2023/04/reforme-retraites-nouvelle-manifestation-suivie-a-epinal/
Annonay;Annonay France;45.239403;4.667349;;;;;;;;
Montluçon;Montluçon France;46.3415466;2.6019912;;;;2500;;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/gouvernement-inflexible-contre-intersyndicale-determinee-suivez-la-journee-de-mobilisation-contre-la-reforme-des-retraites_14289594/
Bourges;Bourges France;47.081012;2.398782;6000;intersyndicale;2000;;;;;https://www.leberry.fr/bourges-18000/actualites/reforme-des-retraites-suivez-en-direct-la-onzieme-journee-de-mobilisation_14289961/
Bourgoin-Jallieu;Bourgoin-Jallieu France;45.597108;5.27212;2200;;1300;;;;;https://www.ledauphine.com/social/2023/04/06/social-greve-et-manifestations-en-isere-suivez-en-direct-cette-onzieme-journee-de-mobilisation
Auch;Auch France;43.64638;0.586709;4000;intersyndicale;1800;;;;;https://www.ladepeche.fr/2023/04/06/direct-reforme-des-retraites-manifestations-blocages-suivez-la-11e-journee-de-mobilisation-contre-le-projet-de-loi-11114000.php
Castres;Castres France;43.606214;2.241295;5000;;3000;;;;;https://www.ladepeche.fr/2023/04/06/direct-reforme-des-retraites-manifestations-blocages-suivez-la-11e-journee-de-mobilisation-contre-le-projet-de-loi-11114000.php
Belfort;Belfort France;47.639674;6.863849;4000;intersyndicale;2100;;;;;https://www.francebleu.fr/infos/societe/la-mobilisation-contre-la-reforme-des-retraites-ne-faiblit-pas-a-belfort-3729910
Vannes;Vannes France;47.658236;-2.760847;6000;CGT;3100;;;;;https://www.letelegramme.fr/morbihan/vannes/direct-a-vannes-les-eleves-ont-bloque-le-lycee-lesage-06-04-2023-13312643.php
Narbonne;Narbonne France;43.184277;3.003078;3000;;2500;;;;;
Reims;Reims France;49.258329;4.031696;;;;3000;France 3;;;https://france3-regions.francetvinfo.fr/grand-est/marne/reims/reforme-des-retraites-pres-de-3-000-personnes-a-reims-pour-la-11eme-journee-de-mobilisation-2748406.html
Carcassonne;Carcassonne France;43.2132151;2.3517703;2500;intersyndicale;2000;;L'Indépendant;;;https://www.lindependant.fr/2023/04/06/suivez-en-direct-la-11e-apres-midi-de-mobilisation-dans-laude-contre-la-reforme-des-retraites-11116304.php
Montélimar;Montélimar France;44.556944;4.749496;4000;CGT;1500;;;;;
Annecy;Annecy France;45.899247;6.129384;;;2000;;;;;https://www.francebleu.fr/infos/societe/reforme-des-retraites-blocage-des-camions-poubelles-a-chambery-7181170
Agen;Agen France;44.203142;0.616363;2500;;1900;;;;;https://www.ladepeche.fr/2023/04/06/direct-reforme-des-retraites-manifestations-blocages-suivez-la-11e-journee-de-mobilisation-contre-le-projet-de-loi-11114000.php
Arles;Arles France;43.676647;4.6277769;;;1500;;La Provence;;;https://www.laprovence.com/article/region/128345087416415/direct-laprovence-direct-reforme-des-retraites-cinq-rendez-vous-en-provence-et-des-transports-perturbes-pour-cette-11e-mobilisation
Saintes;Saintes France;45.744175;-0.633389;4500;;2500;;Sud Ouest;;;https://www.sudouest.fr/economie/social/greve/direct-greve-du-6-avril-en-charente-maritime-suivez-les-temps-forts-de-la-mobilisation-14704022.php
Mâcon;Mâcon France;46.3068839;4.828731;3000;intersyndicale;1200;;;;;https://www.lejsl.com/societe/2023/04/06/suivez-le-11e-tour-des-manifestations-en-saone-et-loire
Sète;Sète France;43.4078758;3.7008219;3000;CGT;2300;;;;;https://actu.fr/societe/greve-du-6-avril-blocages-manifestations-le-point-sur-la-situation-en-occitanie_58722076.html / https://www.francebleu.fr/infos/economie-social/photos-pres-de-12-000-manifestants-dans-les-rues-de-montpellier-contre-la-reforme-des-retraites-2591280
Moulins;Moulins France;46.568059;3.334417;2000;intersyndicale;1200;;;;;https://www.lamontagne.fr/moulins-03000/actualites/les-manifestants-contre-la-reforme-des-retraites-comptent-ne-rien-lache-a-moulins_14290526/
