Ville;adresse_full;Latitude;Longitude;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;participants_occurrence;description_libre;lien
Paris;Paris France;48.856614;2.3522219;450000;CGT;37000;;;;;https://www.lemonde.fr/politique/live/2023/03/15/greve-du-15-mars-en-direct-le-report-de-l-age-legal-de-depart-a-la-retraite-a-64-ans-valide-en-commission-mixte-paritaire_6165525_823448.html
Marseille;Marseille France;43.296482;5.36978;160000;intersyndicale;7000;;;;;
Nantes;Nantes France;47.218371;-1.553621;;;13000;17000;Ouest France;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-15-mars-suivez-les-manifestations-a-nantes-saint-nazaire-753d191e-c28c-11ed-88ce-5eefbb0a1a52
Toulouse;Toulouse France;43.604652;1.444209;90000;intersyndicale;;;;;;https://www.ladepeche.fr/2023/03/15/direct-reforme-des-retraites-greves-et-manifestations-ce-15-mars-suivez-cette-journee-de-mobilisation-11061023.php
Lyon;Lyon France;45.764043;4.835659;22000;CGT;8500;;;;;https://tribunedelyon.fr/societe/en-direct-suivez-la-manifestation-du-15-mars-a-lyon-contre-la-reforme-des-retraites/
Montpellier;Montpellier France;43.610769;3.876716;13000;intersyndicale;6200;;;;;https://actu.fr/occitanie/montpellier_34172/herault-reforme-des-retraites-plus-de-8-000-manifestants-dans-les-rues-de-montpellier_58105115.html
Caen;Caen France;49.182863;-0.370679;20000;;10000;;;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-15-mars-les-manifestations-a-caen-lisieux-bayeux-6c3d288e-c261-11ed-88ce-5eefbb0a1a52
Grenoble;Grenoble France;45.188529;5.724524;19000;intersyndicale;7500;;Le Dauphiné Libéré ;;;https://www.ledauphine.com/social/2023/03/15/isere-social-greves-et-manifs-en-isere-suivez-avec-nous-cette-nouvelle-journee-de-mobilisation-mxkq
Brest;Brest France;48.390394;-4.486076;18000;;7000;;;;;https://actu.fr/bretagne/brest_29019/greve-du-15-mars-a-brest-7-000-ou-18-000-personnes-dans-les-rues_58104768.html
Rennes;Rennes France;48.117266;-1.6777926;15000;FO;7500;;;;;https://www.ouest-france.fr/economie/retraites/direct-greve-du-15-mars-nouvelle-manifestation-a-rennes-contre-la-reforme-des-retraites-c22822fc-c28a-11ed-88ce-5eefbb0a1a52
Clermont-Ferrand;Clermont-Ferrand France;45.777222;3.087025;12000;;6500;;;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/blocus-dans-un-lycee-de-clermont-manifestations-en-auvergne-et-limousin-suivez-en-direct-cette-journee-de-mobilisation_14277542/
Metz;Metz France;49.1193089;6.1757156;6000;;4000;;;;;https://www.francebleu.fr/infos/economie-social/en-images-4-a-6000-manifestants-dans-les-rues-de-metz-contre-la-reforme-des-retraites-3098122
Angers;Angers France;47.4711616;-0.5518257;7000;CFDT;6000;;;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-15-mars-suivez-les-manifestations-en-maine-et-loire-c8439490-c245-11ed-88ce-5eefbb0a1a52
Bordeaux;Bordeaux France;44.837789;-0.57918;50000;;8500;;;;;https://www.sudouest.fr/economie/reforme-des-retraites/greve-du-15-mars-suivez-les-temps-forts-de-la-mobilisation-a-bordeaux-contre-la-reforme-des-retraites-14429315.php
Pau;Pau France;43.2951;-0.370797;10000;;7400;;La Dépêche du Midi;;;https://www.ladepeche.fr/2023/03/15/direct-reforme-des-retraites-greves-et-manifestations-ce-15-mars-suivez-cette-journee-de-mobilisation-11061023.php
Saint-Nazaire;Saint-Nazaire France;47.2734979;-2.213848;;;6200;7000;Ouest-France;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-15-mars-suivez-les-manifestations-a-nantes-saint-nazaire-753d191e-c28c-11ed-88ce-5eefbb0a1a52
Nancy;Nancy France;48.692054;6.184417;10000;;4000;;;;;https://www.estrepublicain.fr/social/2023/03/15/reforme-des-retraites-en-lorraine-suivez-cette-nouvelle-journee-de-greve
