Ville;adresse_full;Latitude;Longitude;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;participants_occurrence;description_libre;lien
Paris;Paris France;48.856614;2.3522219;700000;CGT;81000;;;;;
Marseille;Marseille France;43.296482;5.36978;245000;intersyndicale;30000;;Le Monde;;;https://www.lemonde.fr/politique/live/2023/03/07/manifestations-du-7-mars-en-direct-je-ne-suis-pas-contre-une-reforme-encore-faut-il-qu-elle-soit-plus-juste-et-transparente_6164451_823448.html?#id-868435
Toulouse;Toulouse France;43.604652;1.444209;120000;intersyndicale;27000;;;;;https://www.ladepeche.fr/2023/03/07/direct-reforme-des-retraites-la-france-a-larret-ce-7-mars-suivez-les-greves-manifestations-et-blocages-11042124.php
Lille;Lille France;50.62925;3.057256;100000;CGT;;;;;;https://www.lavoixdunord.fr/1299561/article/2023-03-07/direct-greve-du-7-mars-des-feux-de-palettes-et-barrages-filtrants-boulogne-sur
Bordeaux;Bordeaux France;44.837789;-0.57918;100000;;16000;70000;Sud Ouest;;;https://www.sudouest.fr/economie/social/greve/direct-greve-du-7-mars-la-france-a-l-arret-suivez-les-temps-forts-de-la-mobilisation-14318133.php
Nantes;Nantes France;47.218371;-1.553621;75000;intersyndicale;30000;30000;Ouest-France;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-7-mars-suivez-les-manifestations-a-nantes-saint-nazaire-debf78d4-bbff-11ed-93e6-c3ff03e7738c
Le Havre;Le Havre France;49.49437;0.107929;45000;CGT;10700;;Paris Normandie;;;https://www.paris-normandie.fr/id394026/article/2023-03-07/direct-blocage-du-7-mars-contre-les-retraites-suivez-la-mobilisation-en
Lyon;Lyon France;45.764043;4.835659;50000;intersyndicale;25000;;;;;https://www.leprogres.fr/social/2023/03/07/greve-du-7-mars-suivez-en-direct-la-journee-de-mobilisation-dans-la-metropole-de-lyon
Grenoble;Grenoble France;45.188529;5.724524;53000;intersyndicale;20500;;;;;
Rennes;Rennes France;48.117266;-1.6777926;40000;;19000;;Ouest-France;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-7-mars-suivez-la-mobilisation-en-ille-et-vilaine-67643ba6-bc29-11ed-93e6-c3ff03e7738c
Caen;Caen France;49.182863;-0.370679;35000;CGT;24200;;;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-suivez-la-mobilisation-du-mardi-7-mars-a-caen-et-le-calvados-b8cde7e4-bc29-11ed-93e6-c3ff03e7738c
Montpellier;Montpellier France;43.610769;3.876716;42000;intersyndicale;25000;;Midi Libre;;;https://www.midilibre.fr/2023/03/07/direct-greve-du-7-mars-suivez-cette-nouvelle-journee-de-mobilisation-contre-la-reforme-des-retraites-11043128.php
Orléans;Orléans France;47.902964;1.909251;37000;CGT;11500;;;;;https://www.larep.fr/orleans-45000/actualites/blocages-manifestations-greves-suivez-la-sixieme-journee-de-mobilisation-contre-la-reforme-des-retraites_14273230/
Nice;Nice France;43.7101728;7.2619532;30000;intersyndicale;6000;;;;;https://www.nicematin.com/social/greve-du-7-mars-des-corteges-interminables-a-nice-et-toulon-les-expeditions-de-carburants-bloquees-suivez-la-mobilisation-en-direct-832720
Saint-Etienne;Saint-Etienne France;45.439695;4.3871779;50000;intersyndicale;8800;;;;;https://www.leprogres.fr/social/2023/03/07/cinquieme-journee-de-mobilisation-contre-la-reforme-des-retraites-civa#00d1c671-febe-4b11-a260-797c3ad7fc2e
Limoges;Limoges France;45.833619;1.261105;40000;intersyndicale;9700;;Le Populaire du Centre;;;https://www.francebleu.fr/infos/economie-social/direct-blocages-manifs-suivez-la-mobilisation-du-7-mars-contre-la-reforme-des-retraites-en-limousin-3859159
Nîmes;Nîmes France;43.836699;4.360054;30000;CGT;6000;;Midi Libre;;;https://www.midilibre.fr/2023/03/07/reforme-des-retraites-suivez-la-manifestation-du-7-mars-a-nimes-en-direct-11043631.php
Valence;Valence France;44.933393;4.89236;30000;syndicats;10000;;Le Dauphiné Libéré;;;https://www.ledauphine.com/social/2023/03/07/greves-et-manifestations-en-drome-ardeche#9c793a28-98de-41cc-a232-cd93f96f6eac
Cherbourg;Cherbourg France;49.6423;-1.62551;21500;intersyndicale;8000;10000;Ouest France;;;https://www.ouest-france.fr/economie/retraites/direct-suivez-les-greves-du-7-mars-contre-la-reforme-des-retraites-dans-la-manche-d8e0e224-bc4d-11ed-93e6-c3ff03e7738c
Strasbourg;Strasbourg France;48.5734053;7.7521113;30000;intersyndicale;9500;30000;DNA;;;https://www.dna.fr/social/2023/03/07/reforme-des-retraites-strasbourg-se-mobilise-pour-la-6e-journee
Saint-Nazaire;Saint-Nazaire France;47.2734979;-2.213848;17000;intersyndicale;14000;15000;Ouest-France;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-7-mars-suivez-les-manifestations-a-nantes-saint-nazaire-debf78d4-bbff-11ed-93e6-c3ff03e7738c
Clermont-Ferrand;Clermont-Ferrand France;45.777222;3.087025;37000;CGT;19000;;La Montagne;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/blocages-manifestations-greves-suivez-la-sixieme-journee-de-mobilisation-contre-la-reforme-des-retraites_14272702/
Rouen;Rouen France;49.443232;1.099971;26000;intersyndicale;13500;;Paris Normandie;;;https://www.paris-normandie.fr/id394026/article/2023-03-07/direct-blocage-du-7-mars-contre-les-retraites-suivez-la-mobilisation-en
Metz;Metz France;49.1193089;6.1757156;9800;syndicats;17000;;L'Est Républicain;;;https://www.estrepublicain.fr/social/2023/03/06/reforme-des-retraites-les-premiers-corteges-vont-s-elancer-suivez-cette-grande-journee-de-mobilisation-en-lorraine
