Ville;adresse_full;Latitude;Longitude;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;description_libre;lien
Mamoudzou;Mamoudzou France;-12.78064;45.2326964;600;intersyndicale;275;;;;https://la1ere.francetvinfo.fr/mayotte/2eme-journee-de-greve-ce-31-janvier-contre-la-reforme-des-retraites-1362246.html
Saint-Denis, La Réunion;Saint-Denis, La Réunion France;-20.8906596;55.4550536;9500;intersyndicale;7600;;;;https://www.lemonde.fr/politique/live/2023/01/31/greve-du-31-janvier-en-direct-je-descendrai-dans-la-rue-tant-qu-il-le-faudra_6159929_823448.html?#id-826643
Basse-Terre, Guadeloupe;Basse-Terre, Guadeloupe France;15.9965719;-61.7317215;;;;;;;
Fort-de-France, Martinique;Fort-de-France, Martinique France;14.6060576;-61.069884;;;;;;;
Cayenne, Guyane;Cayenne, Guyane France;4.9379774;-52.3354386;;;;;;;
Dunkerque;Dunkerque France;51.0343684;2.3767763;16000;;4200;;;;
Saint-Nazaire;Saint-Nazaire France;47.2734979;-2.213848;;;14000;15000;Ouest-France;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-31-janvier-les-manifestations-a-nantes-saint-nazaire-e5583488-a0a2-11ed-be8f-4d2939631a03
Bourges;Bourges France;47.081012;2.398782;9000;;7000;;;;https://www.leberry.fr/bourges-18000/actualites/reforme-des-retraites-suivez-les-manifestations-dans-le-cher-direct_14255018/
Valence;Valence France;44.933393;4.89236;12000;;9200;;;;https://www.francebleu.fr/infos/societe/en-direct-quelle-mobilisation-contre-la-reforme-des-retraites-en-drome-ardeche-5222468
Alençon;Alençon France;48.432856;0.091266;4000;;3000;;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-31-janvier-les-manifestations-a-alencon-argentan-flers-52d844be-a0ab-11ed-be8f-4d2939631a03
Guéret;Guéret France;46.169599;1.871452;;;;4300;France Bleu;;https://www.francebleu.fr/infos/societe/creuse-nouvelle-mobilisation-contre-la-reforme-des-retraites-7651117
Alès;Alès France;44.127204;4.083352;;;7000;;;;https://lemonde.sirius.press/news/4224695
Bagnols-sur-Cèze;Bagnols-sur-Cèze France;44.16252;4.620075;3500;;1800;;;;https://www.midilibre.fr/2023/01/31/bagnols-affluence-historique-pour-cette-nouvelle-mobilisation-contre-la-reforme-des-retraites-10964035.php
Tulle;Tulle France;45.26565;1.771697;;;3500;;;;https://www.francebleu.fr/infos/economie-social/reforme-des-retraites-3500-manifestants-selon-la-police-a-tulle-1132324
Coutances;Coutances France;49.047808;-1.4452609;;;1800;;;;https://www.francebleu.fr/infos/economie-social/retraites-les-premieres-manifestations-debutent-dans-la-manche-9880441
Saintes;Saintes France;45.744175;-0.633389;6000;intersyndicale;3000;3500;Sud Ouest;;https://www.sudouest.fr/charente-maritime/saintes/reforme-des-retraites-au-moins-3-500-personnes-dans-la-rue-a-saintes-13885688.php
Quimper;Quimper France;47.997542;-4.097899;;;12000;;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-31-janvier-les-manifestations-a-brest-quimper-morlaix-a4e19778-a0c5-11ed-be8f-4d2939631a03
Cholet;Cholet France;47.059407;-0.879787;4500;intersyndicale;4500;;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-31-janvier-les-manifestations-a-angers-cholet-saumur-da0b78e2-a0ac-11ed-a11b-e98c72bb00dc
Saumur;Saumur France;47.260135;-0.080893;2500;intersyndicale;2500;;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-31-janvier-les-manifestations-a-angers-cholet-saumur-da0b78e2-a0ac-11ed-a11b-e98c72bb00dc
Niort;Niort France;46.323716;-0.464777;10000;intersyndicale;6000;;;entre 9000 et 10000 manifestants selon les syndicats;https://www.lanouvellerepublique.fr/niort/reforme-des-retraites-quelle-mobilisation-dans-les-deux-sevres-mardi-31-janvier?queryId%5Bquery1%5D=57cd2206459a452f008b4594&queryId%5Bquery2%5D=57c95b34479a452f008b459d&page=6&pageId=57da5cf9459a4552008b4b23
