Ville;Latitude;Longitude;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;participants_occurrence;description_libre;lien
Paris;48.856614;2.3522219;450000;;93000;;;;;
Marseille;43.296482;5.36978;180000;intersyndicale;11000;;;;;
Toulouse;43.604652;1.444209;150000;intersyndicale;18000;;;;;https://www.ladepeche.fr/2023/03/28/direct-reforme-des-retraites-de-nombreuses-manifestations-a-venir-pour-la-10e-journee-de-mobilisation-le-trafic-sncf-fortement-perturbe-11094069.php
Bordeaux;44.837789;-0.57918;80000;intersyndicale;10000;;;;;
Nantes;47.218371;-1.553621;60000;intersyndicale;18000;32000;Ouest France;;;
Lille;50.62925;3.057256;;;8000;;La Voix du Nord;;;https://www.lavoixdunord.fr/1308667/article/2023-03-28/direct-reforme-de-retraites-10e-journee-de-mobilisation-haut-risque-l-objectif-c
Grenoble;45.188529;5.724524;40000;;15000;;Le Dauphiné Libéré;;;https://www.ledauphine.com/social/2023/03/28/greve-et-manifestations-en-isere-suivez-cette-nouvelle-journee-de-mobilisation-contre-la-reforme-des-retraites
Lyon;45.764043;4.835659;30000;;12500;;;;;live
Clermont-Ferrand;45.777222;3.087025;35000;CGT;11000;;;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/manifestations-blocages-suivez-en-direct-la-10e-journee-de-mobilisation-contre-la-reforme-des-retraites_14284508/
Le Havre;49.49437;0.107929;50000;intersyndicale;7200;;;;;https://www.bfmtv.com/normandie/en-direct-manifestation-du-28-mars-en-normandie-plusieurs-rassemblements-prevus-des-perturbations-dans-les-transports-en-raison-de-la-greve_LN-202303280025.html
Caen;49.182863;-0.370679;37000;intersyndicale;15000;;;;;https://www.ouest-france.fr/economie/retraites/direct-greve-du-28-mars-manifestations-blocages-circulation-le-point-a-caen-lisieux-vire-adabb0c6-ca66-11ed-a96e-000ee1405726
Limoges;45.833619;1.261105;25000;CGT;4600;;;;;https://france3-regions.francetvinfo.fr/nouvelle-aquitaine/haute-vienne/limoges/manifestations-blocages-10e-journee-de-mobilisation-contre-la-reforme-des-retraites-en-limousin-2741558.html
Montpellier;43.610769;3.876716;20000;CGT;10000;;;;;https://www.midilibre.fr/2023/03/28/manifestation-du-28-mars-contre-les-retraites-le-zoo-de-montpellier-ferme-suivez-la-mobilisation-en-direct-11094335.php
Brest;48.390394;-4.486076;24000;intersyndicale;12000;;;;;https://actu.fr/bretagne/brest_29019/greve-du-28-mars-des-blocages-a-brest-suivez-la-manifestation_58456723.html
