Ville;Latitude;Longitude;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;participants_occurrence;description_libre;lien
Nancy;48.692054;6.184417;15000;intersyndicale;6000;;;;;https://www.francebleu.fr/infos/societe/le-cortege-de-manifestants-contre-la-reforme-des-retraites-s-elance-dans-les-rues-de-nancy-7374659
Nice;43.7101728;7.2619532;25000;intersyndicale;3700;;;;;https://www.bfmtv.com/marseille/en-direct-manifestation-du-28-mars-en-provence-alpes-cote-d-azur-plusieurs-rassemblements-prevus-et-des-greves-dans-les-transports_LN-202303280028.html
Rennes;48.117266;-1.6777926;25000;intersyndicale;13600;;;;;
Saint-Etienne;45.439695;4.3871779;15000;intersyndicale;5100;;;;;https://www.leprogres.fr/social/2023/03/28/reforme-des-retraites-pas-de-train-entre-saint-etienne-et-lyon#38a8a0de-ff51-418b-9fb4-9d4a06596ce5
Orléans;47.902964;1.909251;18000;CGT;6500;9000;France Bleu;;;https://www.larep.fr/orleans-45000/actualites/des-manifestations-prevues-ce-mardi-28-mars-contre-la-reforme-des-retraites-a-travers-le-loiret_14284521/
Strasbourg;48.5734053;7.7521113;15000;intersyndicale;6500;;;;;https://www.dna.fr/social/2023/03/28/retraites-10e-journee-de-mobilisation-dans-le-bas-rhin-des-actions-en-place-des-ce-matin
Toulon;43.124228;5.928;15000;intersyndicale;6500;;;;;https://www.nicematin.com/social/retraites-15000-manifestants-selon-les-syndicats-a-nice-et-toulon-mobilisation-en-baisse-aussi-a-draguignan-suivez-la-mobilisation-en-direct-837285
Avignon;43.949317;4.805528;25000;intersyndicale;4000;10000;Vaucluse Matin;;;https://www.ledauphine.com/social/2023/03/28/greves-et-manifs-dans-le-vaucluse-un-barrage-filtrant-est-en-cours-a-bollene
Nîmes;43.836699;4.360054;18000;CGT;4000;;;;;https://www.midilibre.fr/2023/03/28/direct-nimes-suivez-la-dixieme-mobilisation-contre-la-reforme-des-retraites-ce-mardi-28-mars-11094802.php
Rodez;44.349389;2.575986;3000;intersyndicale;1200;;;;;
Montauban;44.0221252;1.3529599;20000;intersyndicale;2500;;;;;https://lopinion.com/articles/actualite/17296_montauban-2500-20000-manifestants-reforme-retraites
Pau;43.2951;-0.370797;10500;intersyndicale;10000;9000;La République des Pyrénées;;;https://www.larepubliquedespyrenees.fr/societe/greve-et-manifestations/pau-les-opposants-a-la-reforme-des-retraites-toujours-mobilises-ce-mardi-14594845.php
Dijon;47.322047;5.04148;15000;intersyndicale;;;;;;
Bayonne;43.492949;-1.474841;13000;intersyndicale;6500;12600;;;;https://france3-regions.francetvinfo.fr/nouvelle-aquitaine/pyrenees-atlantiques/pau/direct-reforme-des-retraites-premieres-manifestations-en-aquitaine-a-bayonne-pau-et-a-dax-2741690.html
Tarbes;43.232951;0.078082;15000;intersyndicale;5000;;;;;https://www.nrpyrenees.fr/2023/03/28/tarbes-de-5000-jusqua-15000-manifestants-contre-la-reforme-des-retraites-11094568.php
Rouen;49.443232;1.099971;17000;intersyndicale;12700;;;;;https://www.bfmtv.com/normandie/replay-emissions/le-12h30-17h/retraites-12-700-manifestants-a-rouen-d-apres-la-prefecture_VN-202303280381.html
Albi;43.9250853;2.1486413;18000;intersyndicale;;;;;;https://www.ladepeche.fr/2023/03/28/direct-reforme-des-retraites-de-nombreuses-manifestations-a-venir-pour-la-10e-journee-de-mobilisation-le-trafic-sncf-fortement-perturbe-11094069.php
Perpignan;42.6886591;2.8948332;15000;intersyndicale;5000;;;;;https://actu.fr/occitanie/perpignan_66136/greve-du-28-mars-suivez-la-manifestation-et-les-blocages-a-perpignan_58454517.html
Valence;44.933393;4.89236;28000;CGT;5000;4500;France Bleu;;FO évoque 15000 manifestants;https://www.francebleu.fr/infos/economie-social/neuf-manifestations-en-drome-ardeche-ce-mardi-28-mars-6555282
Poitiers;46.580224;0.340375;;;;;;;;
Amiens;49.894067;2.295753;9000;intersyndicale;;;;;;https://www.courrier-picard.fr/id400386/article/2023-03-28/reforme-des-retraites-avant-les-manifestations-en-picardie-les-premiers-blocages
Le Mans;48.00611;0.199556;;;6400;6700;Le Maine libre / Ouest France;;;https://www.ouest-france.fr/economie/retraites/direct-greve-du-28-mars-circulation-a-larret-au-mans-suivez-le-trafic-en-temps-reel-79156c8c-ca50-11ed-a96e-000ee1405726
La Roche-sur-Yon;46.670511;-1.426442;7000;;3700;;;;;https://www.ouest-france.fr/economie/retraites/greve-du-28-mars-manifestations-blocages-suivez-la-situation-en-vendee-5b3f8126-cc84-11ed-8144-e74efc02d2d3
Foix;42.964127;1.605232;13000;;3000;;La Gazette ariégeoise;;;https://gazette-ariegeoise.fr/reforme-des-retraites-a-foix-une-nouvelle-mobilisation-suivie-ce-28-mars/
Béziers;43.344233;3.215795;10000;intersyndicale;3000;;;;;https://www.midilibre.fr/2023/03/28/greve-du-28-mars-entre-3-000-et-10-000-biterrois-mobilises-contre-la-reforme-des-retraites-11094632.php
Brive;45.159555;1.533937;5000;CGT;2500;3000;La Montagne;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/manifestations-blocages-suivez-en-direct-la-10e-journee-de-mobilisation-contre-la-reforme-des-retraites_14284508/
Angers;47.4711616;-0.5518257;9000;;5000;;Courrier de l'Ouest;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-et-manifestations-du-28-mars-a-angers-cholet-saumur-et-segre-85e38870-cca0-11ed-8144-e74efc02d2d3
Chambéry;45.564601;5.917781;;;4500;;;;;https://www.francebleu.fr/infos/societe/direct-reforme-des-retraites-les-opposants-deja-mobilises-sur-un-rond-point-a-chambery-suivez-le-direct-9135843
Angoulême;45.648377;0.1562369;8000;intersyndicale;3600;;;;;https://www.charentelibre.fr/economie/reforme-des-retraites/angouleme-la-manif-quoi-qu-il-en-coute-14598722.php
Le Puy-en-Velay;45.042768;3.882936;15000;intersyndicale;2800;;;;;
Périgueux;45.184029;0.7211149;4500;;3600;4800;Sud Ouest;;;https://www.sudouest.fr/economie/reforme-des-retraites/direct-greve-du-28-mars-suivez-la-10e-journee-de-contestation-en-dordogne-14593789.php
La Rochelle;46.160329;-1.151139;8000;;3000;;;;;https://www.sudouest.fr/economie/reforme-des-retraites/video-greve-du-28-mars-a-la-rochelle-la-mobilisation-reste-forte-14602094.php
Metz;49.1193089;6.1757156;9000;intersyndicale;4500;;;;;https://www.francebleu.fr/infos/economie-social/en-images-entre-4-500-et-9-000-manifestants-a-metz-pour-la-dixieme-fois-contre-la-reforme-des-retraites-5288000
Saint-Nazaire;47.2734979;-2.213848;15000;;;10000;Ouest-France;;;https://www.ouest-france.fr/economie/retraites/direct-greve-du-28-mars-manifestations-blocages-et-etat-du-trafic-a-nantes-saint-nazaire-a5b42d42-ccac-11ed-8144-e74efc02d2d3
Beauvais;49.4295387;2.0807123;8500;CGT;3200;2000;Oise Hebdo;;;https://www.oisehebdo.fr/2023/03/28/beauvais-manifestation-reforme-retraites-prefecture/
Tours;47.394144;0.68484;9000;intersyndicale;5700;;;;;https://www.lanouvellerepublique.fr/indre-et-loire/direct-reforme-des-retraites-suivez-la-manifestation-a-tours-2
Lorient;47.7482524;-3.3702449;12000;intersyndicale;6700;;;;;https://www.letelegramme.fr/morbihan/lorient/direct-suivez-la-dixieme-journee-de-mobilisation-a-lorient-28-03-2023-13306063.php
Quimper;47.997542;-4.097899;10000;intersyndicale;8000;;;;;
Besançon;47.237829;6.0240539;;;4900;8000;L'Est républicain;;;https://www.estrepublicain.fr/social/2023/03/28/besancon-retraites-8000-manifestants-dont-2000-jeunes-prets-a-en-decoudre-ont-defile-pour-l-acte-x
Charleville-Mézières;49.762085;4.726096;7000;intersyndicale;;;;;;https://www.lardennais.fr/id469582/article/2023-03-28/reforme-des-retraites-la-manifestation-commence-charleville-mezieres
Blois;47.5860921;1.3359475;5000;;4000;;;;;
Saint-Brieuc;48.51418;-2.765835;9500;GCT;4000;;;;;
Châteauroux;46.811434;1.686779;;;4500;;;;;
Niort;46.323716;-0.464777;;;2750;4500;Ouest France;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-28-mars-suivez-les-manifestations-a-niort-et-en-deux-sevres-ecfd55d4-cc9d-11ed-8144-e74efc02d2d3
Lannion;48.732084;-3.459144;9000;;3500;;Ouest France;;"Ils étaient ""entre 8 000 et 10 000 manifestants"" d'après l'intersyndicale";https://www.ouest-france.fr/economie/retraites/direct-greve-du-28-mars-une-journee-dactions-a-saint-brieuc-dinan-lannion-guingamp-5288042a-ccb3-11ed-adce-72df0a7564af
Boulogne-sur-Mer;50.725231;1.613334;3500;intersyndicale;3000;;;;;
Evreux;49.027013;1.151361;;;2000;;;;;https://www.paris-normandie.fr/id400380/article/2023-03-28/direct-greve-du-28-mars-en-normandie-des-blocages-matinaux-avant-lacte-x-des
Morlaix;48.577613;-3.828228;;;3000;3500;Le Télégramme;;;https://www.letelegramme.fr/finistere/morlaix/reforme-des-retraites-3-500-opposants-dans-les-rues-de-morlaix-28-03-2023-13306283.php
Laval;48.0785146;-0.7669906;5000;intersyndicale;2900;;;;;https://www.ouest-france.fr/economie/retraites/direct-greve-du-28-mars-a-laval-suivez-la-manifestation-contre-la-reforme-des-retraites-cef1d9f6-ccb2-11ed-8144-e74efc02d2d3
Dunkerque;51.0343684;2.3767763;;;;2000;La Voix du Nord;;;https://www.lavoixdunord.fr/1309030/article/2023-03-28/dunkerque-des-manifestants-toujours-motives-pour-la-dixieme-mobilisation-contre
Mulhouse;47.750839;7.335888;7000;intersyndicale;3500;;;;;
Epinal;48.172402;6.449403;6000;intersyndicale;3200;;;;;https://www.vosgesmatin.fr/social/2023/03/28/reforme-des-retraites-les-manifestants-au-rendez-vous-a-saint-die-des-vosges-avant-des-actions-a-neufchateau-remiremont-et-epinal
Annonay;45.239403;4.667349;6000;;3500;;;;;https://www.francebleu.fr/infos/economie-social/neuf-manifestations-en-drome-ardeche-ce-mardi-28-mars-6555282
Montluçon;46.3415466;2.6019912;5000;intersyndicale;1800;3500;La Montagne;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/manifestations-blocages-suivez-en-direct-la-10e-journee-de-mobilisation-contre-la-reforme-des-retraites_14284508/
Bourges;47.081012;2.398782;8000;CGT;4300;;;;;
Bourgoin-Jallieu;45.597108;5.27212;8000;intersyndicale;2200;;;;;
Auch;43.64638;0.586709;;;;;;;;
Castres;43.606214;2.241295;6000;;2000;4000;France 3;;;https://france3-regions.francetvinfo.fr/occitanie/haute-garonne/toulouse/les-differentes-mobilisations-contre-la-reforme-des-retraites-en-occitanie-2741738.html
Belfort;47.639674;6.863849;4000;;2200;;;;;
Vannes;47.658236;-2.760847;6000;intersyndicale;;;;;;
Narbonne;43.184277;3.003078;4500;intersyndicale;4000;;L'Indépendant;;;https://www.lindependant.fr/2023/03/28/audereforme-des-retraites-a-lunisson-contre-macron-11095086.php
Reims;49.258329;4.031696;5000;intersyndicale;2400;;;;;https://france3-regions.francetvinfo.fr/grand-est/marne/reims/direct-reforme-des-retraites-la-manifestation-demarre-a-reims-les-jeunes-en-tete-de-cortege-2741530.html
Carcassonne;43.2132151;2.3517703;;;;3000;L'Indépendant;;;https://www.lindependant.fr/2023/03/28/audereforme-des-retraites-a-lunisson-contre-macron-11095086.php
Montélimar;44.556944;4.749496;5000;intersyndicale ;2700;;;;;
Annecy;45.899247;6.129384;;;2600;;Le Dauphiné Libéré;;;https://www.ledauphine.com/faits-divers-justice/2023/03/28/greves-manifestations-circulation-savoie-haute-savoie-blocages-chambery-vru-annecy-ecoles-cluses-albertville-rn-90-clluses-thonon-saint-jean-de-maurienne#ce4a169b-b4cb-4a38-98b5-13a58ac2c110
Agen;44.203142;0.616363;3500;CGT;2500;;;;;https://www.sudouest.fr/economie/reforme-des-retraites/direct-greve-du-28-mars-manifestations-blocages-suivez-les-temps-forts-de-la-journee-14588614.php
Arles;43.676647;4.6277769;4000;intersyndicale;1500;;;;;https://www.laprovence.com/videos/arles-1500-manifestants-selon-la-police-4000-selon-les-manifestants/v65GbfYx3s8
Saintes;45.744175;-0.633389;;;;2500;Sud Ouest;;;https://www.sudouest.fr/economie/reforme-des-retraites/direct-greve-du-28-mars-manifestations-blocages-suivez-les-temps-forts-de-la-journee-14588614.php
Mâcon;46.3068839;4.828731;;;1400;;Journal de Saône-et-Loire;;;https://www.lejsl.com/social/2023/03/28/suivez-la-10e-journee-d-action-en-saone-et-loire#5c2f78ea-19b3-499a-9604-da49bd02186c
Sète;43.4078758;3.7008219;;;1400;;;;;https://france3-regions.francetvinfo.fr/occitanie/herault/montpellier/greve-du-28-mars-transports-ecoles-les-perturbations-a-montpellier-et-dans-la-region-ce-mardi-acte-10-de-la-lutte-contre-la-reforme-des-retraite-2741438.html
Moulins;46.568059;3.334417;3000;intersyndicale;;;;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/manifestations-blocages-suivez-en-direct-la-10e-journee-de-mobilisation-contre-la-reforme-des-retraites_14284508/
Mont-de-Marsan;43.893485;-0.499782;;;;;;;;
Arras;50.291002;2.777535;3000;intersyndicale;2000;;;;;https://www.lavoixdunord.fr/1308918/article/2023-03-28/arras-entre-2-000-et-3-000-manifestants-toujours-vent-debout-contre-la-reforme
Aubenas;44.620909;4.389863;3200;intersyndicale;;;;;;https://www.ledauphine.com/social/2023/03/28/greves-et-manifs-en-drome-ardeche-la-10e-mobilisation
Gap;44.566667;6.083333;3000;intersyndicale;1500;;;;;https://www.bfmtv.com/marseille/en-direct-manifestation-du-28-mars-en-provence-alpes-cote-d-azur-plusieurs-rassemblements-prevus-et-des-greves-dans-les-transports_LN-202303280028.html
Vichy;46.131859;3.425488;2500;intersyndicale;1400;;;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/manifestations-blocages-suivez-en-direct-la-10e-journee-de-mobilisation-contre-la-reforme-des-retraites_14284508/
Draguignan;43.5377269;6.464993;2200;intersyndicale;1300;;;;;
Lons-le-Saunier;46.671361;5.550796;;;1600;;;;;https://www.leprogres.fr/social/2023/03/28/reformes-des-retraites-a-lons-le-saunier-le-combat-continue
Vienne;45.524875;4.872931;;;;2700;Vive Vienne;;;https://www.vivre-villes.fr/vienne/politique/2023/03/28/reforme-des-retraites-2-700-manifestants-dans-les-rues-de-vienne-mais-scission-pour-la-1ere-fois-entre-300-bloqueurs-et-le-cortege/
Dinan;48.454366;-2.047327;3400;;1700;;;;;https://www.ouest-france.fr/economie/retraites/direct-greve-du-28-mars-une-journee-dactions-a-saint-brieuc-dinan-lannion-guingamp-5288042a-ccb3-11ed-adce-72df0a7564af
Troyes;48.2924465;4.041115;2800;intersyndicale;2200;;L'Est Eclair;;;https://www.lest-eclair.fr/id469587/article/2023-03-28/direct-reforme-des-retraites-manifestation-troyes-et-romilly-sur-seine-ce-mardi
Guéret;46.169599;1.871452;2500;intersyndicale;2500;;;;;https://www.lamontagne.fr/gueret-23000/actualites/reforme-des-retraites-trois-trains-sont-bloques-a-la-gare-de-gueret-creuse_14285007/
Montbéliard;47.510356;6.798466;2800;intersyndicale;2600;;L'Est républicain;;;https://www.estrepublicain.fr/social/2023/03/28/reforme-des-retraites-en-franche-comte-premiers-blocages-aux-portes-de-stellantis-a-sochaux
Tulle;45.26565;1.771697;4500;;1400;1600;France3;;;https://france3-regions.francetvinfo.fr/nouvelle-aquitaine/haute-vienne/limoges/manifestations-blocages-10e-journee-de-mobilisation-contre-la-reforme-des-retraites-en-limousin-2741558.html
Albertville;45.675535;6.392726;3000;intersyndicale;1600;;;;;https://www.ledauphine.com/faits-divers-justice/2023/03/28/greves-manifestations-circulation-savoie-haute-savoie-blocages-chambery-vru-annecy-ecoles-cluses-albertville-rn-90-clluses-thonon-saint-jean-de-maurienne
Vierzon;47.221438;2.069791;2500;syndicats;2000;;;;;https://www.leberry.fr/bourges-18000/actualites/dixieme-journee-de-mobilisation-contre-la-reforme-des-retraites-dans-le-cher-intensification-ou-essoufflement-en-direct_14284467/
Cholet;47.059407;-0.879787;2400;intersyndicale;2400;;;;;
Aurillac;44.930953;2.444997;1800;;1400;;;;;https://www.lamontagne.fr/aurillac-15000/actualites/la-mobilisation-contre-la-reforme-des-retraites-marquerait-le-pas-a-aurillac_14285034/
Saint-Gaudens;43.106895;0.7237629999999999;;;;;;;;
Vendôme;47.792551;1.065343;2900;CGT;2500;;;;;https://www.lanouvellerepublique.fr/blois/direct-suivez-la-10e-journee-de-mobilisation-contre-la-reforme-des-retraites-en-loir-et-cher-mardi-28-mars
Mende;44.517611;3.501873;1200;;800;;Midi Libre;;;https://www.midilibre.fr/2023/03/28/lozere-un-millier-de-manifestants-contre-la-reforme-des-retraites-ce-mardi-a-mende-11095342.php
Carhaix;48.275584;-3.574188;1600;CGT;1200;;;;;https://www.ouest-france.fr/economie/retraites/direct-greve-du-mardi-28-mars-2023-des-blocages-et-manifestations-a-brest-quimper-et-morlaix-a748b2d0-ccb2-11ed-8144-e74efc02d2d3
Epernay;49.043411;3.956242;;;;1500;L'Union;;;https://www.lunion.fr/id469562/article/2023-03-28/un-peu-plus-de-1500-manifestants-dans-les-rues-depernay
Privas;44.735269;4.599039;1350;intersyndicale;850;;;;;https://www.francebleu.fr/infos/economie-social/neuf-manifestations-en-drome-ardeche-ce-mardi-28-mars-6555282
Alençon;48.432856;0.091266;;;;;;;;
Saint-Lô;49.1154686;-1.0828136;1300;;1300;;;;;https://www.ouest-france.fr/economie/retraites/direct-manifestation-du-28-mars-corteges-blocages-la-situation-a-saint-lo-et-cherbourg-28c8cd52-cca1-11ed-8144-e74efc02d2d3
Guingamp;48.561864;-3.151869;2500;;1700;;;;;
Coutances;49.047808;-1.4452609;1000;intersyndicale;700;;;;;https://www.ouest-france.fr/economie/retraites/direct-manifestation-du-28-mars-corteges-blocages-la-situation-a-saint-lo-et-cherbourg-28c8cd52-cca1-11ed-8144-e74efc02d2d3
Abbeville;50.105467;1.836833;1000;intersyndicale;850;;;;;https://www.courrier-picard.fr/id400386/article/2023-03-28/reforme-des-retraites-avant-les-manifestations-en-picardie-les-premiers-blocages
Châlons-en-Champagne;48.956682;4.363073;1500;intersyndicale;1400;;;;;https://www.lunion.fr/id469549/article/2023-03-28/plus-de-1400-personnes-mobilisees-chalons-ce-mardi-28-mars
Fontenay-le-Comte;46.465972;-0.8065;;;;;;;;
Argentan;48.744001;-0.016566;1100;intersyndicale;800;;;;;
Saint-Jean-de-Maurienne;45.275403;6.344886;;;800;;;;;https://www.ledauphine.com/faits-divers-justice/2023/03/28/greves-manifestations-circulation-savoie-haute-savoie-blocages-chambery-vru-annecy-ecoles-cluses-albertville-rn-90-clluses-thonon-saint-jean-de-maurienne
Bar-le-Duc;48.773605;5.158238;;;;;;;;
Beaune;47.0260;4.840004;350;intersyndicale;300;;;;;https://www.bienpublic.com/social/2023/03/28/dixieme-journee-de-mobilisation-en-cote-d-or-ce-qui-vous-attend-ce-mardi
Chalon-sur-Saône;46.780764;4.853947;6000;;3500;3500;Journal de Saône-et-Loire;;;https://www.lejsl.com/social/2023/03/28/suivez-la-10e-journee-d-action-en-saone-et-loire#5c2f78ea-19b3-499a-9604-da49bd02186c
Cherbourg;49.6423;-1.62551;12000;intersyndicale;6000;8000;La Presse de la Manche;;;https://actu.fr/normandie/cherbourg-en-cotentin_50129/en-images-greve-du-28-mars-8-000-personnes-a-cherbourg-contre-la-reforme-des-retraites_58469611.html
Quimperlé;47.872586;-3.547546;;;;2700;Le Télégramme;;;https://www.letelegramme.fr/morbihan/lorient/direct-suivez-la-dixieme-journee-de-mobilisation-a-lorient-28-03-2023-13306063.php
Roanne;46.034432;4.072695;12000;intersyndicale;2700;;;;;https://www.leprogres.fr/social/2023/03/28/reforme-des-retraites-pas-de-train-entre-saint-etienne-et-lyon
Alès;44.127204;4.083352;4000;;3000;;;;;https://www.midilibre.fr/2023/03/28/ales-suivez-la-manifestation-contre-la-reforme-des-retraites-en-direct-11094297.php
Pontivy;48.066152;-2.967056;4000;intersyndicale;2000;;;;;https://www.letelegramme.fr/morbihan/pontivy/entre-2-000-et-4-000-personnes-disent-non-a-la-reforme-des-retraites-ce-mardi-a-pontivy-28-03-2023-13306273.php
Dieppe;49.922992;1.077483;4600;CGT;2100;;;;;https://www.bfmtv.com/normandie/en-direct-manifestation-du-28-mars-en-normandie-plusieurs-rassemblements-prevus-des-perturbations-dans-les-transports-en-raison-de-la-greve_LN-202303280025.html
Rochefort;45.936698;-0.961697;;;;2000;Sud Ouest;;;https://www.sudouest.fr/economie/reforme-des-retraites/video-greve-du-28-mars-a-rochefort-2-000-personnes-toujours-determinees-14597190.php
Saint-Quentin;49.847066;3.2874;;;;;;;;
Dole;47.09534;5.49081;2500;intersyndicale;1600;;;;;https://www.leprogres.fr/social/2023/03/28/contre-la-reforme-des-retraites-dolois-et-sanclaudiens-de-retour-dans-la-rue
Montargis;47.99729;2.736291;2000;CGT;1300;;;;;https://www.larep.fr/orleans-45000/actualites/des-manifestations-prevues-ce-mardi-28-mars-contre-la-reforme-des-retraites-a-travers-le-loiret_14284521/
Sens;48.20065;3.28268;;;;1300;L'Yonne;;;https://www.lyonne.fr/auxerre-89000/actualites/suivez-en-direct-cette-dixieme-journee-de-mobilisation-contre-la-reforme-des-retraites_14284672/
Châtellerault;46.816487;0.548146;2500;;1900;2000;Centre Presse;;;https://www.centre-presse.fr/article-879234-chatellerault-plus-de-manifestants-contre-la-reforme-des-retraites.html
Cambrai;50.173538;3.236633;;;;;;;;
Saint-Pierre, La Réunion;-21.3408775;55.4776663;;;;500;;;;https://la1ere.francetvinfo.fr/reunion/des-manifestants-dans-les-rues-de-saint-denis-et-saint-pierre-contre-la-reforme-des-retraites-1379646.html
Bagnols-sur-Cèze;44.16252;4.620075;3500;intersyndicale;800;;;;;https://www.objectifgard.com/actualites/en-direct-reforme-des-retraites-suivez-cette-10eme-journee-de-mobilisation-dans-le-gard-107918.php
Colmar;48.0793589;7.358512;;;;800;L'Alsace;;;
Romorantin;47.3725911;1.7018261;;;;;;;;
Cannes;43.552847;7.017369;;;;;;;;
Pithiviers;48.173423;2.255849;;;;450;République du Centre;;;https://www.larep.fr/orleans-45000/actualites/des-manifestations-prevues-ce-mardi-28-mars-contre-la-reforme-des-retraites-a-travers-le-loiret_14284521/
Verdun;49.1598764;5.3844231;;;400;;;;;https://www.estrepublicain.fr/social/2023/03/28/reforme-des-retraites-en-meurthe-et-moselle-et-en-meuse-suivez-la-10e-journee-de-mobilisation-a-bar-le-duc-verdun-nancy-toul-et-pont-a-mousson
Granville;48.837579;-1.597302;1000;intersyndicale;850;;;;;https://www.ouest-france.fr/economie/retraites/direct-manifestation-du-28-mars-corteges-blocages-la-situation-a-saint-lo-et-cherbourg-28c8cd52-cca1-11ed-8144-e74efc02d2d3
Ussel;45.548905;2.313835;;;;;;;;
Valenciennes;50.357113;3.518332;;;;2300;Voix du Nord;;;https://www.lavoixdunord.fr/1308667/article/2023-03-28/direct-reforme-de-retraites-10e-journee-de-mobilisation-haut-risque-l-objectif-c
Calais;50.95129;1.858686;;;;;;;;
Douai;50.367874;3.080602;1600;;;;;;;https://www.lavoixdunord.fr/1308719/article/2023-03-28/douai-le-cortege-vient-de-s-elancer-contre-la-reforme-des-retraites
Bourg-en-Bresse;46.204939;5.225621;;;;3000;Le Progrès;;;
Ancenis;47.365464;-1.177491;;;;2250;Ouest France;;;https://www.ouest-france.fr/economie/retraites/direct-greve-du-28-mars-manifestations-blocages-et-etat-du-trafic-a-nantes-saint-nazaire-a5b42d42-ccac-11ed-8144-e74efc02d2d3
Figeac;44.608288;2.032871;3500;intersyndicale;2500;;Medialot;;;https://medialot.fr/cahors-biars-figeac-reforme-des-retraites-carole-delga-dans-le-cortege-cadurcien/
Compiègne;49.417816;2.826145;4000;intersyndicale;1500;;;;;https://actu.fr/societe/greve-du-28-mars-barrages-et-manifestations-suivez-la-mobilisation-dans-l-oise_58440514.html
Digne-les-Bains;44.092193;6.235976;;;;;;;;
Cahors;44.4475229;1.441989;3000;intersyndicale;2400;;Medialot;;;https://medialot.fr/cahors-biars-figeac-reforme-des-retraites-carole-delga-dans-le-cortege-cadurcien/
Saint-Malo;48.649337;-2.025674;2750;;1600;;;;2500 à 3000 selon les syndicats;https://actu.fr/bretagne/saint-malo_35288/greve-du-28-mars-la-circulation-fortement-perturbee-a-lentree-de-saint-malo_58464674.html
Vesoul;47.619788;6.15428;2500;intersyndicale;;;;;;
Lisieux;49.145922;0.227849;;;;;;;;
Bergerac;44.853806;0.483392;;;;;;;;
Chateaubriant;47.720948;-1.3762239;1500;intersyndicale;1000;;;;;https://actu.fr/pays-de-la-loire/chateaubriant_44036/reforme-des-retraites-dixieme-journee-de-mobilisation-a-chateaubriant_58475167.html
Laon;49.564133;3.61989;800;intersyndicale;650;;;;;https://www.lunion.fr/id469523/article/2023-03-28/reforme-des-retraites-des-barrages-et-blocages-eriges-dans-laisne-et-la-marne
Fougères;48.3515609;-1.204626;;;;;;;;
Thouars;46.976154;-0.216803;900;CGT;710;750;Ouest France;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-28-mars-suivez-les-manifestations-a-niort-et-en-deux-sevres-ecfd55d4-cc9d-11ed-8144-e74efc02d2d3
