Ville;Latitude;Longitude;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;participants_occurrence;description_libre;lien
Blois;47.58609209999999;1.3359475;;;;3000;Nouvelle République;;;https://www.lanouvellerepublique.fr/loir-et-cher/video-retraites-a-blois-le-44-3-sous-le-parapluie
Le Havre;49.49437;0.107929;8000;CGT;2850;;;;;https://www.paris-normandie.fr/id395358/article/2023-03-11/direct-greve-du-11-mars-contre-la-reforme-des-retraites-de-nombreuses
Narbonne;43.184277;3.003078;5500;intersyndicale;2200;;;;5000 à 6000 selon les syndicats.;https://www.lindependant.fr/2023/03/11/narbonne-pas-dessoufflement-pour-les-opposants-a-la-reforme-des-retraites-11054565.php
Valence;44.933393;4.89236;5000;FO;2700;;;;10000 selon la CGT;https://www.francebleu.fr/infos/politique/en-direct-suivez-la-7e-journee-contre-la-reforme-des-retraites-en-drome-et-en-ardeche-3839781
Poitiers;46.580224;0.340375;5000;;2700;;;;;https://www.lanouvellerepublique.fr/poitiers/poitiers-entre-2-500-et-5-000-manifestants-dans-le-cortege-de-ce-samedi-11-mars-2023
Limoges;45.833619;1.261105;8000;CGT;2500;;;;;https://www.lepopulaire.fr/limoges-87000/actualites/suivez-la-mobilisation-contre-la-reforme-des-retraites-en-haute-vienne_14275284/
Strasbourg;48.5734053;7.7521113;5000;intersyndicale;1250;;;;Entre 1000 et 1500 selon la police;https://www.dna.fr/social/2023/03/11/reforme-des-retraites-le-bas-rhin-se-mobilise-pour-une-septieme-journee
Saint-Brieuc;48.51418;-2.765835;2500;;2300;;;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-suivez-la-manifestation-du-11-mars-a-saint-brieuc-lannion-et-dinan-ee09856a-bf5f-11ed-8b0a-102ab124256a
Chalon-sur-Saône;46.780764;4.853947;2500;;1800;;;;;https://www.lejsl.com/social/2023/03/11/suivez-en-direct-la-nouvelle-journee-de-manifestations-en-saone-et-loire-contre-la-reforme-des-retraites#1cc71432-9507-418f-9cc2-56fc458f4037
Toulon;43.124228;5.928;8000;CGT;3000;;;;;https://www.bfmtv.com/marseille/en-direct-manifestation-du-11-mars-plusieurs-rassemblements-prevus-en-provence-alpes-cote-d-azur_LN-202303110114.html
Saint-Etienne;45.439695;4.3871779;50000;;8800;;;;;https://www.leprogres.fr/social/2023/03/07/cinquieme-journee-de-mobilisation-contre-la-reforme-des-retraites-civa
Chambéry;45.564601;5.917781;2500;CGT;1000;1200;Dauphiné Libéré;;;https://www.ledauphine.com/social/2023/03/11/manifestations-chambery-annecy-albertville-thonon-cluses-en-pays-de-savoie-ce-samedi-contre-la-reforme-des-retraites#d432a24d-f45f-48f4-86f6-b8cd86502b5e
Lorient;47.7482524;-3.3702449;6000;intersyndicale;3600;;;;;https://www.letelegramme.fr/morbihan/lorient/a-lorient-nouvelle-mobilisation-contre-la-reforme-des-retraites-ce-samedi-11-mars-11-03-2023-13294537.php
Cherbourg;49.6423;-1.62551;7000;intersyndicale;2500;;;;;https://www.ouest-france.fr/economie/retraites/direct-manifestation-du-11-mars-granville-et-cherbourg-ouvrent-le-bal-des-rassemblements-ce-matin-1a40a4c2-bf2b-11ed-8b0a-102ab124256a
Châteauroux;46.811434;1.686779;1500;intersyndicale;1000;;;;;https://www.lanouvellerepublique.fr/chateauroux/retraites-1-500-manifestants-a-chateauroux-samedi-11-mars
Charleville-Mézières;49.762085;4.726096;;;;;;;;
Niort;46.323716;-0.464777;;;;2000;Ouest France;;;https://www.ouest-france.fr/economie/retraites/manifestations-du-11-mars-a-niort-2-000-personnes-mobilisees-contre-la-reforme-des-retraites-77b147bc-bff6-11ed-aa33-59ea232e8c60
Angoulême;45.648377;0.1562369;2000;;;1200;France Bleu;;;https://www.francebleu.fr/infos/economie-social/reforme-des-retraites-jusqu-a-un-million-de-manifestants-attendus-ce-samedi-selon-les-renseignements-7316974
Reims;49.258329;4.031696;3000;;1800;;;;2500 à 3500 selon la CGT et la CFDT.;https://france3-regions.francetvinfo.fr/grand-est/champagne-ardenne/en-images-les-manifestations-contre-la-reforme-des-retraites-se-poursuivent-a-chalons-reims-et-troyes-ce-samedi-11-mars-2730654.html
Quimperlé;47.872586;-3.547546;;;;2000;Le Télégramme;;;https://www.letelegramme.fr/finistere/quimperle/reforme-des-retraites-a-quimperle-2-000-manifestants-dans-la-rue-ce-samedi-11-mars-11-03-2023-13294546.php
Lannion;48.732084;-3.459144;2800;;2100;;;;;https://actu.fr/bretagne/lannion_22113/lannion-entre-2000-et-3000-manifestants-dans-le-centre-ville_58017057.html
Avignon;43.949317;4.805528;8000;intersyndicale;;;;;;https://www.laprovence.com/article/region/83856507138090/direct-laprovence-reforme-des-retraites-plusieurs-manifestations-en-provence-perturbations-dans-les-transports-toutes-nos-infos-sur-la-mobilisation
