Ville;Latitude;Longitude;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;participants_occurrence;description_libre;lien
Vannes;47.658236;-2.760847;8000;CGT;2000;5000;Le Télégramme;;;https://www.ouest-france.fr/economie/retraites/manifestation-du-11-mars-contre-la-reforme-des-retraites-trois-manifestations-dans-le-morbihan-bf5038b4-bf54-11ed-8b0a-102ab124256a https://www.letelegramme.fr/morbihan/vannes/5-000-manifestants-a-vannes-contre-la-reforme-des-retraites-11-03-2023-13294553.php
La Rochelle;46.160329;-1.151139;;;;;;;;
Lons-le-Saunier;46.671361;5.550796;1000;CGT;750;;;;;https://www.leprogres.fr/social/2023/03/11/reforme-des-retraites-trois-manifestations-a-dole-lons-et-saint-claude-ce-samedi-matin
Chartres;48.443854;1.489012;;;;2500;L'Echo Républicain;;;https://www.lechorepublicain.fr/chartres-28000/actualites/a-chartres-les-manifestants-mobilises-pour-continuer-le-combat-contre-la-reforme-des-retraite_14275858/
Saint-Jean-de-Maurienne;45.275403;6.344886;;;;;;;;
Ajaccio;41.919229;8.738635;;;;;;;;
Bastia;42.697283;9.450881;;;;;;;;
Albi;43.9250853;2.1486413;8000;;2000;;;;;https://www.ladepeche.fr/2023/03/11/reforme-des-retraites-ne-nous-liberez-pas-on-sen-charge-8-000-manifestants-a-albi-selon-lintersyndicale-11054685.php
Soissons;49.376636;3.32342;;;;;;;;
Chateau-Thierry;49.0459869;3.40262;;;;;;;;
Maubeuge;50.280228;3.9674;;;;;;;;
Thouars;46.976154;-0.216803;;;;;;;;
Foix;42.964127;1.605232;;;;;;;;
Saint-Omer;50.750115;2.252208;1800;;;;;;;https://www.lavoixdunord.fr/1301475/article/2023-03-11/direct-reforme-des-retraites-nouvelle-journee-de-manifestations-ce-samedi-11
Bressuire;46.84246;-0.492866;;;;;;;;
Ploërmel;47.929254;-2.396846;;;1000;;;;;https://www.ouest-france.fr/economie/retraites/manifestation-du-11-mars-contre-la-reforme-des-retraites-trois-manifestations-dans-le-morbihan-bf5038b4-bf54-11ed-8b0a-102ab124256a
Dax;43.708608;-1.051945;;;;;;;;
Pont-Audemer;49.354883;0.5142989;;;;;;;;
Mayenne;48.303949;-0.618462;;;;;;;;
Le Creusot;46.80535099999999;4.4278;600;;500;;;;;https://www.lejsl.com/social/2023/03/11/suivez-en-direct-la-nouvelle-journee-de-manifestations-en-saone-et-loire-contre-la-reforme-des-retraites
Montceau-les-Mines;46.67413;4.362979;;;;;;;;
Thonon-les-Bains;46.373565;6.477634999999999;;;;600;Le Dauphiné Libéré;;;https://www.ledauphine.com/social/2023/03/11/manifestations-chambery-annecy-albertville-thonon-cluses-en-pays-de-savoie-ce-samedi-contre-la-reforme-des-retraites#1e204256-e45f-41c1-a820-20c16ee6cca8
Montbard;47.624329;4.337495;600;intersyndicale;;;;;;https://www.bienpublic.com/social/2023/03/11/acte-vii-ce-samedi-contre-la-reforme-des-retraites-la-mobilisation-continue-a-dijon-et-ailleurs-en-cote-d-or
Vienne;45.524875;4.872931;1800;intersyndicale;1300;;;;;https://www.ledauphine.com/social/2023/03/11/greves-et-manifestations-en-isere-suivez-la-mobilisation-de-ce-samedi#9ebf3565-99bb-4ad6-9f4c-a21a150a4b27
