Ville;pays;adresse_full;Latitude;Longitude;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;description_libre;lien
Guingamp;France;Guingamp France;48.561864;-3.151869;;;;;;;
Bourg-en-Bresse;France;Bourg-en-Bresse France;46.204939;5.225621;5000;;3500;;;;https://www.leprogres.fr/social/2023/02/07/le-cortege-se-forme-a-bourg-en-bresse-contre-la-reforme-des-retraites
Romorantin;France;Romorantin France;47.3725911;1.7018261;1500;;;1100;La Nouvelle République;;https://www.lanouvellerepublique.fr/vendome/loir-et-cher-contre-la-reforme-des-retraites-1-500-manifestants-a-romorantin-et-1-650-a-vendome
Troyes;France;Troyes France;48.2924465;4.041115;;;4000;;;;https://www.lest-eclair.fr/id453952/article/2023-02-07/direct-mobilisation-contre-la-reforme-des-retraites-troyes
Châlons-en-Champagne;France;Châlons-en-Champagne France;48.956682;4.363073;;;1500;;;;https://www.lunion.fr/id453960/article/2023-02-07/reforme-des-retraites-les-manifestations-selancent-dans-la-marne-et-laisne
Epernay;France;Epernay France;49.043411;3.956242;;;1500;;;;https://www.lunion.fr/id453960/article/2023-02-07/reforme-des-retraites-les-manifestations-selancent-dans-la-marne-et-laisne
Saint-Dizier;France;Saint-Dizier France;48.637692;4.947418;;;;;;;
Soissons;France;Soissons France;49.376636;3.32342;;;;2000;L'Union;;https://www.lunion.fr/id453960/article/2023-02-07/reforme-des-retraites-les-manifestations-selancent-dans-la-marne-et-laisne
Chateau-Thierry;France;Chateau-Thierry France;49.0459869;3.40262;;;;;;;
Charleville-Mézières;France;Charleville-Mézières France;49.762085;4.726096;7500;CGT;;;;;https://www.francebleu.fr/infos/economie-social/charleville-mezieres-nouvelle-mobilisation-contre-la-reforme-des-retraites-5550246
Maubeuge;France;Maubeuge France;50.280228;3.9674;;;;;;;
Poitiers;France;Poitiers France;46.580224;0.340375;10000;intersyndicale;4400;;;;https://www.centre-presse.fr/article-878389-reforme-des-retraites-manifestation-ce-mardi-a-poitiers.html
Châtellerault;France;Châtellerault France;46.816487;0.548146;3000;intersyndicale;2300;;;;https://www.lanouvellerepublique.fr/chatellerault/a-chatellerault-plus-de-2-500-manifestants-mobilises-contre-la-reforme-des-retraites
Thouars;France;Thouars France;46.976154;-0.216803;;;;;;;
Carhaix;France;Carhaix France;48.275584;-3.574188;2000;;1600;;Ouest France;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-7-fevrier-les-manifestations-a-brest-quimper-morlaix-72ea3ad6-a62e-11ed-acf1-1f171930b7f8
Pontivy;France;Pontivy France;48.066152;-2.967056;;;;3000;Ouest-France;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-7-fevrier-suivez-les-manifestations-a-lorient-vannes-2a7b549e-a627-11ed-acf1-1f171930b7f8
Foix;France;Foix France;42.964127;1.605232;;;;;;;
Saint-Gaudens;France;Saint-Gaudens France;43.106895;0.723763;;;;;;;
Marmande;France;Marmande France;44.500484;0.159869;;;;;;;
Chaumont;France;Chaumont France;48.113748;5.1392559;;;;;;;
Montélimar;France;Montélimar France;44.556944;4.749496;6000;;4100;;;;https://www.francebleu.fr/infos/politique/reforme-des-retraites-dix-nouvelles-manifestations-ce-7-fevrier-en-drome-et-ardeche-5379162
Beauvais;France;Beauvais France;49.4295387;2.0807123;7000;CGT;2600;;;;https://www.aisnenouvelle.fr/id386074/article/2023-02-07/hauts-de-france-suivez-en-direct-la-troisieme-journee-de-mobilisation-contre-la#
Compiègne;France;Compiègne France;49.417816;2.826145;4500;CGT;3000;;;;https://www.oisehebdo.fr/2023/02/07/compiegne-manifestation-reforme-retraites/
Draguignan;France;Draguignan France;43.5377269;6.464993;2800;;1600;;Nice-Matin;;https://www.nicematin.com/social/greve-contre-la-reforme-des-retraites-la-mobilisation-toujours-importante-a-nice-et-draguignan-la-cgt-appelle-a-un-durcissement-du-mouvement-suivez-la-journee-en-direct-826489
Saint-Omer;France;Saint-Omer France;50.750115;2.252208;;;;;;;
Gien;France;Gien France;47.6374513;2.7371902;;;1000;;;;https://www.larep.fr/orleans-45000/actualites/suivez-la-troisieme-journee-de-mobilisation-contre-la-reforme-des-retraites-dans-le-loiret_14258618/
Chateaubriant;France;Chateaubriant France;47.720948;-1.3762239;2000;CGT;1200;;;;https://france3-regions.francetvinfo.fr/pays-de-la-loire/reforme-des-retraites-troisieme-journee-de-mobilisation-2709534.html
Sarlat;France;Sarlat France;44.890891;1.217292;;;;;;;
Cherbourg;France;Cherbourg France;49.6423;-1.62551;16500;;11000;10000;Ouest-France;;https://www.ouest-france.fr/economie/retraites/direct-reformes-des-retraites-suivez-les-manifestations-a-cherbourg-et-saint-lo-567b2632-a631-11ed-acf1-1f171930b7f8
Bressuire;France;Bressuire France;46.84246;-0.492866;;;;600;La Nouvelle République;;https://www.lanouvellerepublique.fr/bressuire/deux-sevres-les-retraites-eux-aussi-en-lutte-pour-defendre-l-avenir-des-travailleurs
Dinan;France;Dinan France;48.454366;-2.047327;;;3000;;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-7-fevrier-les-manifestations-a-st-brieuc-lannion-dinan-ef461b16-a63f-11ed-acf1-1f171930b7f8
Bergerac;France;Bergerac France;44.853806;0.483392;2000;intersyndicale;1600;;;;https://www.sudouest.fr/economie/social/greve-du-7-fevrier-a-bergerac-1-600-personnes-dans-la-rue-selon-la-police-13974830.php
Montauban;France;Montauban France;44.0221252;1.3529599;7000;intersyndicale;;;;;https://www.ladepeche.fr/2023/02/07/direct-greve-du-7-fevrier-manifestations-actions-suivez-la-troisieme-journee-de-mobilisation-contre-la-reforme-des-retraites-10979804.php
Vendôme;France;Vendôme France;47.792551;1.065343;;;;1650;;;https://www.lanouvellerepublique.fr/vendome/loir-et-cher-contre-la-reforme-des-retraites-1-500-manifestants-a-romorantin-et-1-650-a-vendome
Ploërmel;France;Ploërmel France;47.929254;-2.396846;;;;1000;Ouest-France;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-7-fevrier-suivez-les-manifestations-a-lorient-vannes-2a7b549e-a627-11ed-acf1-1f171930b7f8
Langres;France;Langres France;47.86683;5.334297;;;;;;;
Pont-Audemer;France;Pont-Audemer France;49.354883;0.5142989;;;;;;;
Evreux;France;Evreux France;49.027013;1.151361;;;4000;;;;
Eu;France;Eu France;50.04887;1.419597;;;1200;;;;https://www.aisnenouvelle.fr/id386074/article/2023-02-07/hauts-de-france-suivez-en-direct-la-troisieme-journee-de-mobilisation-contre-la#
Saint-Quentin;France;Saint-Quentin France;49.847066;3.2874;6000;;3000;;;;https://www.aisnenouvelle.fr/id386074/article/2023-02-07/hauts-de-france-suivez-en-direct-la-troisieme-journee-de-mobilisation-contre-la#
Laon;France;Laon France;49.564133;3.61989;1800;;1000;;;;https://www.lunion.fr/id453960/article/2023-02-07/reforme-des-retraites-les-manifestations-selancent-dans-la-marne-et-laisne
Fougères;France;Fougères France;48.3515609;-1.204626;1500;;;;;;https://www.ouest-france.fr/economie/retraites/reformes-des-retraites-a-fougeres-une-mobilisation-importante-mais-en-baisse-083b543e-a6fd-11ed-9512-c1edba2ba438
Vitré;France;Vitré France;48.12474599999999;-1.21543;;;;;;;
