Ville;adresse_full;Latitude;Longitude;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;participants_occurrence;description_libre;lien
Nancy;Nancy France;48.692054;6.184417;40000;;;;Républicain Lorrain;;;https://www.republicain-lorrain.fr/social/2023/03/23/reforme-des-retraites-les-corteges-vont-demarrer-a-metz-et-longwy
Rouen;Rouen France;49.443232;1.099971;23000;CGT;14000;;Paris Normandie;;;https://www.paris-normandie.fr/id398920/article/2023-03-23/greve-du-23-mars-les-depots-de-bus-bloques-evreuxbarrages-filtrants-arouen
Le Mans;Le Mans France;48.00611;0.199556;18000;intersyndicale;8800;;;;;https://www.francebleu.fr/infos/economie-social/retraites-forte-mobilisation-au-mans-une-semaine-apres-le-49-3-9258666
Bayonne;Bayonne France;43.492949;-1.474841;24000;FSU;9500;;;;;https://www.sudouest.fr/economie/reforme-des-retraites/direct-greve-du-23-mars-blocages-manifestations-suivez-les-temps-forts-de-la-mobilisation-14528043.php
Orléans;Orléans France;47.902964;1.909251;30000;CGT;7200;10000;France Bleu Orléans;;;https://www.francebleu.fr/infos/economie-social/reforme-des-retraites-la-mobilisation-a-orleans-revient-au-niveau-des-premieres-manifestations-4097859
Tours;Tours France;47.394144;0.68484;12000;intersyndicale;9700;;La Nouvelle République;;;https://www.lanouvellerepublique.fr/a-la-une/direct-retraites-suivez-la-9e-journee-de-mobilisation-du-23-mars?queryId%5Bquery1%5D=57cd2206459a452f008b4594&queryId%5Bquery2%5D=57c95b34479a452f008b459d&page=0&pageId=57da5ce0459a4552008b4567
Besançon;Besançon France;47.237829;6.0240539;11500;CGT;8200;;L'Est républicain;;;https://www.estrepublicain.fr/social/2023/03/23/reforme-des-retraites-en-franche-comte-suivez-cette-nouvelle-journee-de-greve
Perpignan;Perpignan France;42.6886591;2.8948332;20000;;;;Actu.fr;;;https://actu.fr/occitanie/perpignan_66136/greve-du-23-mars-manif-perturbations-suivez-la-mobilisation-a-perpignan_58318171.html
Blois;Blois, France;47.5860921;1.3359475;10000;intersyndicale;8000;;La Nouvelle République;;;https://www.lanouvellerepublique.fr/blois/direct-nouvelle-journee-de-mobilisation-contre-la-reforme-des-retraites-en-loir-et-cher-ce-jeudi-23-mars-2023#:~:text=Les%20manifestants%20ont%20emprunt%C3%A9%20la,Blois%2C%20bloquant%20ainsi%20la%20circulation.&text=Jeudi%2023%20mars%202023%20marque,secteurs%20et%20de%20nombreuses%20manifestations.
Le Havre;Le Havre France;49.49437;0.107929;50000;;9900;;BFMTV;;;https://www.bfmtv.com/normandie/greve-du-23-mars-en-normandie-un-trafic-perturbe-sur-les-reseaux-de-transports-et-a-la-sncf_LN-202303230033.html
Narbonne;Narbonne France;43.184277;3.003078;6500;CGT;5500;;;;;
Valence;Valence France;44.933393;4.89236;20000;Force Ouvrière;6000;;Dauphiné Libéré;;;https://www.ledauphine.com/social/2023/03/23/greves-et-manifs-en-drome-et-en-ardeche-plusieurs-actions-prevues-dans-nos-departements
Poitiers;Poitiers France;46.580224;0.340375;20000;;8300;;La nouvelle République;;;
Limoges;Limoges France;45.833619;1.261105;45000;;8500;;Le Populaire du Centre;;;https://www.lepopulaire.fr/limoges-87000/actualites/reforme-des-retraites-suivez-la-9e-journee-de-mobilisation-en-haute-vienne_14281737/
Strasbourg;Strasbourg France;48.5734053;7.7521113;30000;;12400;;Dernières nouvelles d'Alsace;;;https://www.dna.fr/social/2023/03/23/retraites-nouvelle-journee-de-mobilisation-dans-le-bas-rhin-ce-jeudi
Saint-Brieuc;Saint-Brieuc France;48.51418;-2.765835;10000;;6000;;Ouest France;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-23-mars-les-manifestations-a-saint-brieuc-lannion-dinan-282fcdb4-c7f6-11ed-80c7-e23f0fe16482
Chalon-sur-Saône;Chalon-sur-Saône France;46.780764;4.853947;;;5000;;Journal de Saone et Loire;;;https://www.lejsl.com/social/2023/03/23/suivez-en-direct-la-9e-journee-de-manifestations-contre-la-reforme-des-retraites-en-saone-et-loire#82e6306c-93c4-4b18-9164-ca4e7a4075b1
Toulon;Toulon France;43.124228;5.928;30000;CGT;12000;;;;;https://www.nicematin.com/social/greve-du-23-mars-les-manifestations-se-sont-elancees-a-nice-toulon-et-draguignan-beaucoup-de-monde-dans-les-corteges-suivez-notre-direct-836316
Saint-Etienne;Saint-Etienne France;45.439695;4.3871779;35000;;6200;10800;Le Progrès;;;https://www.leprogres.fr/social/2023/03/23/reforme-des-retraites-apres-le-vote-la-revolte#5101ce5a-2f20-470e-a955-a06dbe2bd8c2
Chambéry;Chambéry France;45.564601;5.917781;15000;;5000;;;;;
Lorient;Lorient France;47.7482524;-3.3702449;12000;;7000;;Le Télégramme;;;https://www.letelegramme.fr/morbihan/lorient/direct-mobilisation-contre-la-reforme-des-retraites-a-lorient-le-cours-de-chazelles-bloque-23-03-2023-13302747.php
Cherbourg;Cherbourg France;49.6423;-1.62551;;;;9000;Ouest France;;;https://www.ouest-france.fr/economie/retraites/direct-dans-la-manche-les-manifestants-sopposent-a-la-reforme-des-retraites-pour-la-neuvieme-fois-0df0a6d4-c955-11ed-b7b6-abe6ad8a6310
Châteauroux;Châteauroux France;46.811434;1.686779;10000;;6500;;La Nouvelle République;;;https://www.lanouvellerepublique.fr/chateauroux/reformes-des-retraites-barrage-filtrant-au-mach-36-distribution-de-tracts-au-blanc-et-blocage-du-courrier
Charleville-Mézières;Charleville-Mézières France;49.762085;4.726096;11000;;5000;;France Bleu;;;https://www.lunion.fr/id468080/article/2023-03-23/reforme-des-retraites-journee-de-mobilisation-dans-la-marne-laisne-et-les
Niort;Niort France;46.323716;-0.464777;10000;;6500;;Ouest France;;;https://www.ouest-france.fr/economie/retraites/direct-greve-du-23-mars-sur-les-retraites-manifestations-et-mobilisation-en-deux-sevres-c9b74fa6-c7c7-11ed-bb6d-507912c558a1
Angoulême;Angoulême France;45.648377;0.1562369;15000;;;;;;;https://www.charentelibre.fr/economie/reforme-des-retraites/retraites-top-depart-de-la-9e-journee-de-mobilisation-sur-le-rond-point-de-carat-video-14532021.php
Reims;Reims France;49.258329;4.031696;6500;;4000;;;;;https://france3-regions.francetvinfo.fr/grand-est/marne/reims/en-images-greve-et-manifestation-pour-les-retraites-reims-se-mobilise-ce-jeudi-23-mars-2738386.html
Quimperlé;Quimperlé France;47.872586;-3.547546;;;4500;5000;Ouest France;;;
Lannion;Lannion France;48.732084;-3.459144;10000;intersyndicale;5100;;Le Télégramme;;Entre 8 000 et 10 000 personnes selon les syndicats;https://www.letelegramme.fr/economie/retraites/blocages-manifestations-le-point-sur-la-mobilisation-en-bretagne-23-03-2023-13302756.php
Avignon;Avignon France;43.949317;4.805528;30000;intersyndicale;6000;20000;La Provence;;;https://www.laprovence.com/article/region/35680617563741/direct-reforme-des-retraites-des-manifestants-qui-bloquaient-la-gare-routiere-de-saint-charles-evacues-par-la-police-a-marseille
