Ville;adresse_full;Latitude;Longitude;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;participants_occurrence;description_libre;lien
Beauvais;Beauvais France;49.4295387;2.0807123;12500;CGT;8000;;Le Courrier picard;;;https://www.courrier-picard.fr/id398915/article/2023-03-23/retraites-suivez-en-direct-les-actions-contre-la-reforme-en-picardie-jeudi-23
Dole;Dole France;47.09534;5.49081;;;3100;;;;;https://www.leprogres.fr/social/2023/03/23/reforme-des-retraites-des-manifestants-rassembles-a-dole
Montargis;Montargis France;47.99729;2.736291;;;;2200;La République du centre;;;https://www.larep.fr/orleans-45000/actualites/reforme-des-retraites-nouvelle-journee-de-mobilisation-dans-le-loiret-suivez-notre-direct_14282049/
Dinan;Dinan France;48.454366;-2.047327;4700;intersyndicale;2400;;Le Télégramme;;;https://www.letelegramme.fr/economie/retraites/blocages-manifestations-le-point-sur-la-mobilisation-en-bretagne-23-03-2023-13302756.php
Mâcon;Mâcon France;46.3068839;4.828731;6000;;3000;;Le Journal de Saône-et-Loire;;;https://www.lejsl.com/social/2023/03/23/suivez-en-direct-la-9e-journee-de-manifestations-contre-la-reforme-des-retraites-en-saone-et-loire
Tulle;Tulle France;45.26565;1.771697;4000;;1900;2000;La Montagne;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/neuvieme-journee-de-mobilisations-contre-la-reforme-des-retraites-suivez-notre-direct_14282499/
Albertville;Albertville France;45.675535;6.392726;4000;;2300;;;;;https://www.francebleu.fr/infos/economie-social/direct-reforme-des-retraites-barrage-filtrant-sur-la-voie-rapide-urbaine-de-chambery-suivez-le-direct-2627430
Sens;Sens France;48.20065;3.28268;;;1800;1800;L'Yonne;;;https://www.lyonne.fr/auxerre-89000/actualites/reforme-des-retraites-suivez-en-direct-cette-nouvelle-journee-de-mobilisation-dans-l-yonne_14281722/
Annonay;Annonay France;45.239403;4.667349;9000;CGT;4000;4000;Dauphiné Libéré;;;https://www.ledauphine.com/social/2023/03/23/greves-et-manifs-en-drome-et-en-ardeche-plusieurs-actions-prevues-dans-nos-departements
Vierzon;Vierzon France;47.221438;2.069791;4000;;;;Le Berry républicain;;;https://www.leberry.fr/bourges-18000/actualites/la-marseillaise-chantee-sur-les-voies-de-la-gare-de-vierzon-corteges-a-bourges-et-saint-amand-la-neuvieme-journee-de-mobilisation-en-video_14282572/
Vichy;Vichy France;46.131859;3.425488;5000;;2500;;;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/neuvieme-journee-de-mobilisations-contre-la-reforme-des-retraites-suivez-notre-direct_14282499/
Châtellerault;Châtellerault France;46.816487;0.548146;;;;3500;La Nouvelle République;;;https://www.lanouvellerepublique.fr/a-la-une/direct-retraites-suivez-la-9e-journee-de-mobilisation-du-23-mars?queryId%5Bquery1%5D=57cd2206459a452f008b4594&queryId%5Bquery2%5D=57c95b34479a452f008b459d&page=0&pageId=57da5ce0459a4552008b4567
Draguignan;Draguignan France;43.5377269;6.464993;5000;intersyndicale;3000;;;;;https://france3-regions.francetvinfo.fr/provence-alpes-cote-d-azur/bouches-du-rhone/direct-reformes-des-retraites-plusieurs-manifestations-prevues-en-paca-ce-jeudi-2738238.html
Sète;Sète France;43.4078758;3.7008219;6000;;2500;;Midi Libre;;;https://www.midilibre.fr/2023/03/23/greve-contre-la-reforme-des-retraites-a-sete-6-000-manifestants-selon-la-cgt-tensions-autour-du-lycee-11082817.php
Privas;Privas France;44.735269;4.599039;2300;CGT;2000;;Le Dauphiné;;;https://www.ledauphine.com/social/2023/03/23/greves-et-manifs-en-drome-et-en-ardeche-plusieurs-actions-prevues-dans-nos-departements
Alençon;Alençon France;48.432856;0.091266;2000;;1800;1600;Ouest France;;;
Saint-Lô;Saint-Lô France;49.1154686;-1.0828136;2000;;1850;;;;;https://www.ouest-france.fr/economie/retraites/direct-dans-la-manche-les-manifestants-sopposent-a-la-reforme-des-retraites-pour-la-neuvieme-fois-0df0a6d4-c955-11ed-b7b6-abe6ad8a6310
Arras;Arras France;50.291002;2.777535;5500;;;;;;;https://www.nordlittoral.fr/169157/article/2023-03-23/arras-des-milliers-de-manifestants-contre-la-reforme-des-retraites-et-de
Vendôme;Vendôme France;47.792551;1.065343;2900;CGT;2500;;La Nouvelle République;;;https://www.lanouvellerepublique.fr/a-la-une/direct-retraites-suivez-la-9e-journee-de-mobilisation-du-23-mars?queryId%5Bquery1%5D=57cd2206459a452f008b4594&queryId%5Bquery2%5D=57c95b34479a452f008b459d&page=0&pageId=57da5ce0459a4552008b4567
Guingamp;Guingamp France;48.561864;-3.151869;2000;;2600;;Ouest France;;;https://www.ouest-france.fr/economie/retraites/video-reforme-des-retraites-pres-de-2-000-manifestants-reunis-a-guingamp-f4104e03-71ab-4128-8b8b-d66391da45a0
Châlons-en-Champagne;Châlons-en-Champagne France;48.956682;4.363073;1600;;1300;;;;;https://www.francebleu.fr/infos/economie-social/en-images-la-mobilisation-contre-la-reforme-des-retraites-se-poursuit-a-reims-3961710
Cambrai;Cambrai France;50.173538;3.236633;;;;1000;La Voix du Nord;;;https://www.lavoixdunord.fr/1306549/article/2023-03-23/direct-retraites-neuvieme-journee-de-mobilisation-contre-la-reforme-adoptee-au
Saint-Pierre, La Réunion;Saint-Pierre, La Réunion France;-21.3408775;55.4776663;;;;;;;;
Carhaix;Carhaix France;48.275584;-3.574188;2500;;2400;;;;;
Mende;Mende France;44.517611;3.501873;2800;;1500;;;;;
Argentan;Argentan France;48.744001;-0.016566;1408;;1100;;;;;
Brive;Brive France;45.159555;1.533937;17000;CGT;5000;;;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/neuvieme-journee-de-mobilisations-contre-la-reforme-des-retraites-suivez-notre-direct_14282499/
Bagnols-sur-Cèze;Bagnols-sur-Cèze France;44.16252;4.620075;;;;;;;;
Coutances;Coutances France;49.047808;-1.4452609;2000;intersyndicale;1600;;;;;https://www.ouest-france.fr/economie/retraites/direct-dans-la-manche-les-manifestants-sopposent-a-la-reforme-des-retraites-pour-la-neuvieme-fois-0df0a6d4-c955-11ed-b7b6-abe6ad8a6310
Colmar;Colmar, France;48.0793589;7.358512;;;1700;;;;;
Romorantin;Romorantin France;47.3725911;1.7018261;;;;;;;;
Bar-le-Duc;Bar-le-Duc France;48.773605;5.158238;1100;intersyndicale;;;;;;
Cannes;Cannes France;43.552847;7.017369;;;;;;;;
Fontenay-le-Comte;Fontenay-le-Comte France;46.465972;-0.8065;1500;;900;;;;;
Pithiviers;Pithiviers France;48.173423;2.255849;;;;;;;;
Verdun;Verdun France;49.1598764;5.3844231;;;;;;;;
Granville;Granville France;48.837579;-1.597302;;;1200;1300;Ouest France;;;https://www.ouest-france.fr/economie/retraites/direct-dans-la-manche-les-manifestants-sopposent-a-la-reforme-des-retraites-pour-la-neuvieme-fois-0df0a6d4-c955-11ed-b7b6-abe6ad8a6310
Ussel;Ussel France;45.548905;2.313835;;;;;;;;
Beaune;Beaune France;47.0260;4.840004;500;;500;;;;;
Lille;Lille France;50.62925;3.057256;75000;intersyndicale;12500;;;;;
Quimper;Quimper France;47.997542;-4.097899;12000;CFDT;12000;15000;Le Télégramme;;;
Dijon;Dijon France;47.322047;5.04148;25000;;8000;;;;;https://www.bienpublic.com/social/2023/03/23/nouvelle-journee-de-mobilsation-en-cote-d-or-a-quoi-s-attendre-ce-jeudi-23-mars
Valenciennes;Valenciennes France;50.357113;3.518332;;;3100;3000;La Voix du Nord;;;https://www.lavoixdunord.fr/1306549/article/2023-03-23/direct-retraites-neuvieme-journee-de-mobilisation-contre-la-reforme-adoptee-au
Morlaix;Morlaix France;48.577613;-3.828228;10000;intersyndicale;6000;8000;Le Télégramme;;;https://www.letelegramme.fr/economie/retraites/blocages-manifestations-le-point-sur-la-mobilisation-en-bretagne-23-03-2023-13302756.php
La Roche-sur-Yon;La Roche-sur-Yon France;46.670511;-1.426442;18000;intersyndicale;6800;;;;;
Laval;Laval France;48.0785146;-0.7669906;10000;intersyndicale;5200;;;;;
Montauban;Montauban France;44.0221252;1.3529599;28000;intersyndicale;3400;;;;;
Calais;Calais France;50.95129;1.858686;;;;5500;La Voix du Nord;;;https://www.lavoixdunord.fr/1306549/article/2023-03-23/direct-retraites-neuvieme-journee-de-mobilisation-contre-la-reforme-adoptee-au
Douai;Douai France;50.367874;3.080602;;;;3000;La Voix du Nord;;;https://www.lavoixdunord.fr/1306549/article/2023-03-23/direct-retraites-neuvieme-journee-de-mobilisation-contre-la-reforme-adoptee-au
Bourg-en-Bresse;Bourg-en-Bresse France;46.204939;5.225621;;;;;;;;
