Ville;adresse_full;Latitude;Longitude;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;description_libre;lien
Ancenis;Ancenis France;47.365464;-1.177491;;;;4000;Ouest-France;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-19-janvier-les-manifestations-a-nantes-saint-nazaire-1d16eb5a-9750-11ed-8634-d0413f2d7cce
Privas;Privas France;44.735269;4.599039;3000;;2500;;;;https://www.francebleu.fr/infos/economie-social/premiere-journee-de-mobilisation-contre-la-reforme-des-retraites-en-drome-ardeche-5796021
Périgueux;Périgueux France;45.184029;0.7211149;10000;CGT;6500;;;;
Avignon;Avignon France;43.949317;4.805528;15000;;3500;;;;https://www.francebleu.fr/infos/economie-social/photos-importante-manifestation-contre-la-reforme-des-retraites-a-avignon-4303203
Argentan;Argentan France;48.744001;-0.016566;2000;;1800;;;;https://www.ouest-france.fr/economie/retraites/greve-du-19-janvier-des-centaines-de-manifestants-dans-l-orne-contre-la-reforme-des-retraites-5478fc9a-97dd-11ed-ab80-3e6a8899576a
Tours;Tours France;47.394144;0.68484;;;15000;;;;https://france3-regions.francetvinfo.fr/centre-val-de-loire/des-manifestations-d-ampleur-inedite-contre-la-reforme-des-retraites-en-centre-val-de-loire-2697054.html
Châteauroux;Châteauroux France;46.811434;1.686779;;;8000;;;;https://france3-regions.francetvinfo.fr/centre-val-de-loire/des-manifestations-d-ampleur-inedite-contre-la-reforme-des-retraites-en-centre-val-de-loire-2697054.html
Vierzon;Vierzon France;47.221438;2.069791;;;2500;;;;https://france3-regions.francetvinfo.fr/centre-val-de-loire/des-manifestations-d-ampleur-inedite-contre-la-reforme-des-retraites-en-centre-val-de-loire-2697054.html
Angoulême;Angoulême France;45.648377;0.1562369;10000;;9000;;;;https://www.francebleu.fr/infos/economie-social/reforme-des-retraites-plusieurs-milliers-de-manifestants-dans-les-deux-charentes-3567937
Verdun;Verdun France;49.1598764;5.3844231;1000;FSU;;;;;https://france3-regions.francetvinfo.fr/grand-est/meurthe-et-moselle/nancy/direct-greve-du-19-janvier-quelle-mobilisation-en-lorraine-2697106.html
Belfort;Belfort France;47.639674;6.863849;;;;4000;France Bleu;;https://www.francebleu.fr/infos/societe/en-images-environ-4-000-manifestants-a-belfort-contre-la-reforme-des-retraites-4396994
Bourgoin-Jallieu;Bourgoin-Jallieu France;45.597108;5.27212;;;3500;;;;https://www.francebleu.fr/infos/economie-social/journee-d-actions-contre-la-reforme-des-retraites-des-corteges-importants-en-isere-8044500
Lannion;Lannion France;48.732084;-3.459144;7850;;6100;;;;
Pau;Pau France;43.2951;-0.370797;14000;;14000;;;;https://www.francebleu.fr/infos/societe/en-images-grosse-mobilisation-a-pau-et-a-tarbes-contre-la-reforme-des-retraites-7493817
Tarbes;Tarbes France;43.232951;0.078082;8000;intersyndicale;6500;;;;https://www.francebleu.fr/infos/societe/en-images-grosse-mobilisation-a-pau-et-a-tarbes-contre-la-reforme-des-retraites-7493817
Abbeville;Abbeville France;50.105467;1.836833;;;;2000;France Bleu;;https://www.francebleu.fr/infos/economie-social/en-images-debut-de-la-manifestation-a-amiens-contre-la-reforme-des-retraites-suivez-notre-direct-6789797
Mulhouse;Mulhouse France;47.750839;7.335888;;;6500;;;;
Bayonne;Bayonne France;43.492949;-1.474841;;;;8000;Sud Ouest;;https://www.sudouest.fr/pyrenees-atlantiques/bayonne/greve-du-19-janvier-a-bayonne-plus-de-8-000-personnes-pour-dire-non-a-la-reforme-des-retraites-13732549.php
Agen;Agen France;44.203142;0.616363;6700;;5000;;;;https://www.sudouest.fr/economie/reforme-des-retraites/greve-du-19-janvier-a-agen-la-place-fallieres-est-noire-de-monde-13731882.php
Mont-de-Marsan;Mont-de-Marsan France;43.893485;-0.499782;6000;;4500;;;;https://www.sudouest.fr/landes/en-images-entre-4-500-et-6-000-personnes-dans-les-rues-de-mont-de-marsan-contre-la-reforme-des-retraites-13734117.php?utm_term=Autofeed&utm_campaign=echobox&utm_medium=Social-Landes&utm_source=Twitter#Echobox=1674130331
Vesoul;Vesoul France;47.619788;6.15428;;;;4000;France Bleu;;https://www.francebleu.fr/infos/economie-social/photos-reforme-des-retraites-plusieurs-milliers-de-manifestants-dans-les-rues-de-franche-comte-4616369
Valenciennes;Valenciennes France;50.357113;3.518332;;;6000;;;;https://france3-regions.francetvinfo.fr/hauts-de-france/nord-0/lille/direct-greve-du-19-janvier-a-lille-et-a-amiens-suivez-les-manifestations-contre-la-reforme-des-retraites-2697210.html
Douai;Douai France;50.367874;3.080602;;;3400;;;;https://france3-regions.francetvinfo.fr/hauts-de-france/nord-0/lille/direct-greve-du-19-janvier-a-lille-et-a-amiens-suivez-les-manifestations-contre-la-reforme-des-retraites-2697210.html
Cambrai;Cambrai France;50.173538;3.236633;;;3400;;;;https://france3-regions.francetvinfo.fr/hauts-de-france/nord-0/lille/direct-greve-du-19-janvier-a-lille-et-a-amiens-suivez-les-manifestations-contre-la-reforme-des-retraites-2697210.html
Arras;Arras France;50.291002;2.777535;;;3800;;;;https://france3-regions.francetvinfo.fr/hauts-de-france/nord-0/lille/direct-greve-du-19-janvier-a-lille-et-a-amiens-suivez-les-manifestations-contre-la-reforme-des-retraites-2697210.html
Calais;Calais France;50.95129;1.858686;;;3800;;;;https://france3-regions.francetvinfo.fr/hauts-de-france/nord-0/lille/direct-greve-du-19-janvier-a-lille-et-a-amiens-suivez-les-manifestations-contre-la-reforme-des-retraites-2697210.html
Boulogne-sur-Mer;Boulogne-sur-Mer France;50.725231;1.613334;;;5200;;;;https://france3-regions.francetvinfo.fr/hauts-de-france/nord-0/lille/direct-greve-du-19-janvier-a-lille-et-a-amiens-suivez-les-manifestations-contre-la-reforme-des-retraites-2697210.html
Bar-le-Duc;Bar-le-Duc France;48.773605;5.158238;;;;2000;Républicain Lorrain;;https://www.republicain-lorrain.fr/social/2023/01/19/greve-contre-la-reforme-des-retraites-suivez-cette-journee-de-mobilisation-en-lorraine
Limoges;Limoges France;45.833619;1.261105;;;10000;;;;https://france3-regions.francetvinfo.fr/nouvelle-aquitaine/direct-reforme-des-retraites-les-manifestations-a-limoges-et-brive-la-gaillarde-2697218.html
Vannes;Vannes France;47.658236;-2.760847;7700;CFDT;;;;;https://www.letelegramme.fr/morbihan/vannes/a-vannes-les-manifestants-se-rassemblent-contre-la-reforme-des-retraites-19-01-2023-13261605.php
Béziers;Béziers France;43.344233;3.215795;10000;;5000;;;;
Sète;Sète France;43.4078758;3.7008219;3000;;1500;;;;https://www.francebleu.fr/infos/societe/mobilisation-a-montpellier-contre-la-reforme-des-retraites-2938280
Saint-Brieuc;Saint-Brieuc France;48.51418;-2.765835;;;;7000;Ouest-France;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-19-janvier-suivez-les-manifestations-en-france-eb95dc0a-9748-11ed-816c-f199c789eb53
La Rochelle;La Rochelle France;46.160329;-1.151139;10000;;6500;;;;https://www.sudouest.fr/economie/reforme-des-retraites/direct-greve-du-19-janvier-contre-la-reforme-des-retraites-suivez-les-temps-forts-de-la-mobilisation-13730827.php
Rochefort;Rochefort France;45.936698;-0.961697;;;;3500;Sud-Ouest;;https://www.sudouest.fr/economie/reforme-des-retraites/direct-greve-du-19-janvier-contre-la-reforme-des-retraites-suivez-les-temps-forts-de-la-mobilisation-13730827.php
Epinal;Epinal France;48.172402;6.449403;;;5000;;;;https://www.republicain-lorrain.fr/social/2023/01/19/greve-contre-la-reforme-des-retraites-suivez-cette-journee-de-mobilisation-en-lorraine
Metz;Metz France;49.1193089;6.1757156;10000;intersyndicale;;;;;https://www.republicain-lorrain.fr/social/2023/01/19/greve-contre-la-reforme-des-retraites-suivez-cette-journee-de-mobilisation-en-lorraine
Le Puy-en-Velay;Le Puy-en-Velay France;45.042768;3.882936;10000;;4500;;;;https://www.zoomdici.fr/actualite/reforme-des-retraites-entre-4-500-et-10-000-manifestants-au-puy
Lorient;Lorient France;47.7482524;-3.3702449;10000;;9000;;;;https://www.ouest-france.fr/economie/retraites/10-000-manifestants-a-lorient-contre-la-reforme-des-retraites-un-nouveau-rassemblement-prevu-mardi-ee8fbe9e-97f7-11ed-b3d5-273349710fc9
Auxerre;Auxerre France;47.798202;3.573781;;;;4000;L'Yonne républicaine;;https://www.lyonne.fr/auxerre-89000/actualites/suivez-en-direct-la-mobilisation-contre-la-reforme-des-retraites-dans-l-yonne-et-en-france_14248037/
Sens;Sens France;48.20065;3.28268;;;;2000;L'Yonne républicaine;;https://www.lyonne.fr/auxerre-89000/actualites/suivez-en-direct-la-mobilisation-contre-la-reforme-des-retraites-dans-l-yonne-et-en-france_14248037/
Nevers;Nevers France;46.990896;3.162845;;;;5000;Le Journal du Centre;;https://www.lejdc.fr/nevers-58000/actualites/la-manifestation-contre-la-reforme-des-retraites-demarre-a-nevers-suivez-cette-journee-de-mobilisation_14248789/
Montargis;Montargis France;47.99729;2.736291;3000;FO;2600;;;;
Annonay;Annonay France;45.239403;4.667349;5000;;3000;;;;https://www.francebleu.fr/infos/economie-social/premiere-journee-de-mobilisation-contre-la-reforme-des-retraites-en-drome-ardeche-5796021
Aubenas;Aubenas France;44.620909;4.389863;8600;;3500;;;;https://www.francebleu.fr/infos/economie-social/premiere-journee-de-mobilisation-contre-la-reforme-des-retraites-en-drome-ardeche-5796021
La Roche-sur-Yon;La Roche-sur-Yon France;46.670511;-1.426442;;;8000;;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-19-janvier-une-manifestation-des-14-h-a-la-roche-sur-yon-9411e0bc-97db-11ed-b3d5-273349710fc9
Nancy;Nancy France;48.692054;6.184417;;;12000;;;;
Roanne;Roanne France;46.034432;4.072695;;;4900;;;;
Morlaix;Morlaix France;48.577613;-3.828228;8000;;5000;;;;
Quimperlé;Quimperlé France;47.87258600000001;-3.547546;5000;;3200;;;;
Montbéliard;Montbéliard France;47.510356;6.798466;;;6000;;;;https://www.estrepublicain.fr/social/2023/01/19/greve-contre-la-reforme-des-retraites-suivez-cette-journee-de-mobilisation-en-franche-comte
Dole;Dole France;47.09534;5.49081;;;3000;;;;https://www.estrepublicain.fr/social/2023/01/19/greve-contre-la-reforme-des-retraites-suivez-cette-journee-de-mobilisation-en-franche-comte
Lons-le-Saunier;Lons-le-Saunier France;46.671361;5.550796;5000;CGT;;;;;https://www.estrepublicain.fr/social/2023/01/19/greve-contre-la-reforme-des-retraites-suivez-cette-journee-de-mobilisation-en-franche-comte
Chalon-sur-Saône;Chalon-sur-Saône France;46.780764;4.853947;;;4000;;;;https://www.estrepublicain.fr/social/2023/01/19/greve-contre-la-reforme-des-retraites-suivez-cette-journee-de-mobilisation-en-franche-comte
Bar-le-Duc;Bar-le-Duc France;48.773605;5.158238000000001;;;;2000;L'Est républicain;;https://www.estrepublicain.fr/social/2023/01/19/greve-contre-la-reforme-des-retraites-suivez-cette-journee-de-mobilisation-en-lorraine-acco
Aurillac;Aurillac France;44.930953;2.444997;;;4100;;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/plus-de-200-rassemblements-en-france-contre-la-reforme-des-retraites-suivez-cette-journee-de-mobilisation_14248679/
Brive;Brive France;45.159555;1.533937;5000;;3500;;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/plus-de-200-rassemblements-en-france-contre-la-reforme-des-retraites-suivez-cette-journee-de-mobilisation_14248679/
Ussel;Ussel France;45.548905;2.313835;1000;;;;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/plus-de-200-rassemblements-en-france-contre-la-reforme-des-retraites-suivez-cette-journee-de-mobilisation_14248679/
Moulins;Moulins France;46.568059;3.334417;3800;CGT;;;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/plus-de-200-rassemblements-en-france-contre-la-reforme-des-retraites-suivez-cette-journee-de-mobilisation_14248679/
Montluçon;Montluçon France;46.3415466;2.6019912;;;2800;;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/plus-de-200-rassemblements-en-france-contre-la-reforme-des-retraites-suivez-cette-journee-de-mobilisation_14248679/
Vichy;Vichy France;46.131859;3.425488;3000;;2000;;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/plus-de-200-rassemblements-en-france-contre-la-reforme-des-retraites-suivez-cette-journee-de-mobilisation_14248679/
Chartres;Chartres France;48.44385399999999;1.489012;;;10000;;;;https://www.lechorepublicain.fr/chartres-28000/actualites/reforme-des-retraites-suivez-la-journee-de-mobilisation-en-eure-et-loir_14248775/
Auch;Auch France;43.64638;0.5867089999999999;;;3500;;;;AFP
Annecy;Annecy France;45.899247;6.129384;11500;CGT;6000;;;;https://www.ledauphine.com/social/2023/01/19/greve-contre-la-reforme-des-retraites-en-pays-de-savoie-des-centaines-de-personnes-reunies-a-albertville
Chambéry;Chambéry France;45.564601;5.917781;10000;;6000;;;;https://www.ledauphine.com/social/2023/01/19/greve-contre-la-reforme-des-retraites-en-pays-de-savoie-des-centaines-de-personnes-reunies-a-albertville
Albertville;Albertville France;45.675535;6.392726;;;2400;;;;https://www.ledauphine.com/social/2023/01/19/greve-contre-la-reforme-des-retraites-en-pays-de-savoie-des-centaines-de-personnes-reunies-a-albertville
Saint-Jean-de-Maurienne;Saint-Jean-de-Maurienne France;45.275403;6.344886;;;;1400;Le Dauphiné libéré;;https://www.ledauphine.com/social/2023/01/19/greve-contre-la-reforme-des-retraites-en-pays-de-savoie-des-centaines-de-personnes-reunies-a-albertville
Digne-les-Bains;Digne-les-Bains France;44.09219299999999;6.235976;7000;;3500;;;;https://www.laprovence.com/article/region/1517168842864216/reforme-des-retraites-marseille-arles-avignon-digne-les-chiffres-des-manifestations-en-provence
Arles;Arles France;43.676647;4.6277769;3000;;2000;;;;https://www.laprovence.com/article/region/1517168842864216/reforme-des-retraites-marseille-arles-avignon-digne-les-chiffres-des-manifestations-en-provence
Ajaccio;Ajaccio France;41.919229;8.738635;3000;;1700;;;;https://www.francebleu.fr/infos/societe/en-images-reforme-des-retraites-2-000-manifestants-revendiques-a-bastia-3-000-a-ajaccio-4360905
Bastia;Bastia France;42.697283;9.450880999999999;2000;;1300;;;;https://www.francebleu.fr/infos/societe/en-images-reforme-des-retraites-2-000-manifestants-revendiques-a-bastia-3-000-a-ajaccio-4360906
Rodez;Rodez France;44.349389;2.575986;12500;;11000;;;;https://www.centrepresseaveyron.fr/2023/01/19/greve-du-19-janvier-contre-la-reforme-des-retraites-suivez-en-direct-la-journee-de-mobilisation-en-france-en-aveyron-et-en-region-10936198.php
Mende;Mende France;44.517611;3.501873;2500;;1700;;;;https://www.midilibre.fr/2023/01/19/mende-contre-la-reforme-des-retraites-1-700-manifestants-selon-la-police-2-500-selon-les-syndicats-10936721.php
Castres;Castres France;43.606214;2.241295;4000;;3000;;;;https://www.lejournaldici.com/actualite/a-la-une/defense-des-retraites-3000-manifestants-selon-la-police
Albi;Albi France;43.9250853;2.1486413;15000;;9500;12000;La Dépêche;;https://www.lejournaldici.com/actualite/a-la-une/manifestation-bien-suivie
Carcassonne;Carcassonne France;43.2132151;2.3517703;;;;8000;;;https://www.lindependant.fr/2023/01/19/aude-fortes-mobilisations-a-narbonne-et-carcassonne-contre-la-reforme-des-retraites-10936846.php
Narbonne;Narbonne France;43.184277;3.003078;6000;;;;;;https://www.lindependant.fr/2023/01/19/aude-fortes-mobilisations-a-narbonne-et-carcassonne-contre-la-reforme-des-retraites-10936846.php
Figeac;Figeac France;44.60828799999999;2.032871;;;5000;;;;https://actu.fr/occitanie/figeac_46102/greve-du-19-janvier-a-figeac-plus-de-5000-manifestants-contre-la-reforme-des-retraites_56739883.html
Cahors;Cahors France;44.4475229;1.441989;;;3500;;;;https://actu.fr/occitanie/cahors_46042/greve-du-19-janvier-3-500-manifestants-contre-la-reforme-des-retraites-a-cahors_56732181.html
Gap;Gap France;44.566667;6.083333;;;;3200;Le Dauphiné libéré;;https://www.ledauphine.com/social/2023/01/19/manifestations-a-gap-travailler-jusqu-a-un-age-ou-on-sera-peut-etre-deja-morts
Guingamp;Guingamp France;48.561864;-3.151869;3500;;2100;;;;https://www.ouest-france.fr/economie/retraites/reforme-des-retraites-plus-de-2-000-manifestants-a-guingamp-8cb38c7e-980a-11ed-b3d5-273349710fc9
Bourg-en-Bresse;Bourg-en-Bresse France;46.204939;5.225621;6700;CGT;5000;;;;https://www.leprogres.fr/social/2023/01/19/reforme-des-retraites-plusieurs-milliers-de-manifestants-a-bourg-en-bresse
Romorantin;Romorantin France;47.3725911;1.7018261;;;;1200;La Nouvelle république;;https://www.lanouvellerepublique.fr/romorantin/1-200-manifestants-mobilisation-inedite-a-romorantin-contre-la-reforme-des-retraites
Troyes;Troyes France;48.2924465;4.041115;;;4500;;;;https://france3-regions.francetvinfo.fr/grand-est/champagne-ardenne/en-images-greve-pour-les-retraites-ce-19-janvier-la-contestation-racontee-par-les-pancartes-2697086.html
Châlons-en-Champagne;Châlons-en-Champagne France;48.956682;4.363073;;;1900;;;;https://www.lunion.fr/id447662/article/2023-01-19/reforme-des-retraites-de-nombreuses-manifestations-en-cours-dans-laisne-et-la
Epernay;Epernay France;49.043411;3.956242;;;2000;;;;https://www.lunion.fr/id447728/article/2023-01-19/2000-manifestants-contre-la-reforme-des-retraites-epernay
Saint-Dizier;Saint-Dizier France;48.637692;4.947418;2300;;;;;;https://www.lunion.fr/id447786/article/2023-01-19/demonstration-de-force-syndicale-contre-la-reforme-des-retraites-saint-dizier
Soissons;Soissons France;49.376636;3.32342;;;;2200;L'Union;;https://www.lunion.fr/id447719/article/2023-01-19/environs-2000-manifestants-soissons-selon-les-syndicats
Chateau-Thierry;Chateau-Thierry France;49.0459869;3.40262;;;;1000;L'Union;;https://www.lunion.fr/id447792/article/2023-01-19/chateau-thierry-plus-dun-millier-de-manifestants-en-ville
Charleville-Mézières;Charleville-Mézières France;49.76208500000001;4.726096;7000;;5000;;;;https://www.lardennais.fr/id447687/article/2023-01-19/direct-jour-de-manifestation-charleville-mezieres-depart-imminent-la-rocade
Maubeuge;Maubeuge France;50.280228;3.9674;2200;;1500;;;;https://www.lavoixdunord.fr/1280494/article/2023-01-19/maubeuge-au-moins-1500-personnes-manifestent-contre-la-reforme-des-retraites
Poitiers;Poitiers France;46.58022400000001;0.340375;10000;;7000;;;;https://www.lanouvellerepublique.fr/vienne/grand-poitiers/reforme-des-retraites-suivez-la-manifestation-en-direct-a-poitiers
