Ville;adresse_full;Latitude;Longitude;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;description_libre;lien
Paris;Paris France;48.856614;2.3522219;400000;CGT;80000;;;;
Marseille;Marseille France;43.296482;5.36978;145000;;26000;;;;
Lyon;Lyon France;45.764043;4.835659;38000;;23000;;;;
Toulouse;Toulouse France;43.604652;1.444209;50000;CGT;36000;;;;https://www.francebleu.fr/infos/economie-social/la-manifestation-contre-la-reforme-des-retraites-est-partie-a-toulouse-5185503
Nice;Nice France;43.7101728;7.2619532;20000;;7500;;;;
Nantes;Nantes France;47.218371;-1.553621;50000;;25000;;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-19-janvier-les-manifestations-a-nantes-saint-nazaire-1d16eb5a-9750-11ed-8634-d0413f2d7cce
Strasbourg;Strasbourg France;48.5734053;7.7521113;30000;CGT, FO;10500;;;;https://www.dna.fr/social/2023/01/19/reforme-des-retraites-suivez-la-journee-de-mobilisation-dans-le-bas-rhin
Montpellier;Montpellier France;43.610769;3.876716;25000;;15000;;;;https://www.francebleu.fr/infos/societe/mobilisation-a-montpellier-contre-la-reforme-des-retraites-2938280
Bordeaux;Bordeaux France;44.837789;-0.57918;60000;;16000;;;;https://www.francebleu.fr/infos/economie-social/greve-du-19-janvier-suivez-la-manifestation-a-bordeaux-3227382
Rennes;Rennes France;48.117266;-1.6777926;25000;FO;17000;;;;https://france3-regions.francetvinfo.fr/bretagne/ille-et-vilaine/rennes/reforme-des-retraites-journee-de-mobilisation-en-bretagne-les-premiers-blocages-et-defiles-ont-debute-2697082.html
Le Havre;Le Havre France;49.49437;0.107929;30000;;11000;;;;https://www.francebleu.fr/infos/economie-social/direct-suivez-la-mobilisation-contre-la-reforme-des-retraites-dans-l-eure-et-dans-la-seine-maritime-3841440
Reims;Reims France;49.258329;4.031696;5000;;4200;;;;https://www.lunion.fr/id447648/article/2023-01-19/reforme-des-retraites-la-manifestation-debute-reims
Lille;Lille France;50.62925;3.057256;;;16000;;;;
Saint-Etienne;Saint-Etienne France;45.439695;4.3871779;50000;CGT;7200;;;;
Toulon;Toulon France;43.124228;5.928;10000;intersyndicale;8700;;;;https://www.francebleu.fr/infos/societe/greve-contre-la-reforme-des-retraites-suivez-les-mobilisations-dans-les-bouches-du-rhone-et-le-var-9198240
Grenoble;Grenoble France;45.188529;5.724524;30000;FO;18000;;;;https://france3-regions.francetvinfo.fr/auvergne-rhone-alpes/isere/grenoble/direct-greve-du-jeudi-19-janvier-suivez-la-manifestation-contre-la-reforme-des-retraites-a-grenoble-2697038.html
Angers;Angers France;47.4711616;-0.5518257;13000;;10500;;;;https://www.ouest-france.fr/economie/retraites/reforme-des-retraites-greve-du-19-janvier-les-manifestations-dans-le-maine-et-loire-3310d6f8-9711-11ed-8634-d0413f2d7cce
Brest;Brest France;48.390394;-4.486076;20000;;13000;;;;
Le Mans;Le Mans France;48.00611;0.199556;20000;intersyndicale;;12500;Ouest France;;
Dijon;Dijon France;47.322047;5.04148;13000;intersyndicale;11000;;;;https://www.bienpublic.com/social/2023/01/19/journee-de-mobilisation-contre-la-reforme-des-retraites-ce-19-janvier-un-cortege-au-depart-de-dijon-et-de-montbard
Aix-en-Provence;Aix-en-Provence France;43.529742;5.447427;;;;;;;
Clermont-Ferrand;Clermont-Ferrand France;45.777222;3.087025;30000;intersyndicale;;;;;https://france3-regions.francetvinfo.fr/auvergne-rhone-alpes/puy-de-dome/clermont-ferrand/greve-du-19-janvier-a-clermont-ferrand-suivez-la-manifestation-contre-la-reforme-des-retraites-2697022.html
Nîmes;Nîmes France;43.836699;4.360054;;;8000;;;;https://france3-regions.francetvinfo.fr/occitanie/herault/montpellier/direct-greve-contre-la-reforme-des-retraites-manifestations-ecoles-et-transports-perturbes-tout-sur-la-mobilisation-du-19-janvier-2696674.html
Amiens;Amiens France;49.894067;2.295753;;;12000;;;;
Besançon;Besançon France;47.237829;6.0240539;12000;;8000;;;;https://www.estrepublicain.fr/social/2023/01/19/greve-contre-la-reforme-des-retraites-suivez-cette-journee-de-mobilisation-en-franche-comte
Caen;Caen France;49.182863;-0.370679;20000;CGT;17500;;;;
Orléans;Orléans France;47.902964;1.909251;;;12000;;;;https://www.francebleu.fr/infos/economie-social/reforme-des-retraites-plus-de-5000-manifestants-dans-les-rues-d-orleans-3174646
Perpignan;Perpignan France;42.6886591;2.8948332;18000;;14000;;;;https://www.francebleu.fr/infos/societe/photos-grosse-mobilisation-contre-la-reforme-des-retraites-a-perpignan-entre-15-000-et-20-000-manifestants-3605572
Rouen;Rouen France;49.443232;1.099971;25000;;13000;;;;https://www.francebleu.fr/infos/economie-social/direct-suivez-la-mobilisation-contre-la-reforme-des-retraites-dans-l-eure-et-dans-la-seine-maritime-3841440
Mamoudzou;Mamoudzou France;-12.78064;45.2326964;;;;;;;
Saint-Denis, La Réunion;Saint-Denis, La Réunion France;-20.8906596;55.4550536;;;3000;;;;
Basse-Terre, Guadeloupe;Basse-Terre, Guadeloupe France;15.9965719;-61.7317215;;;;;;;
Fort-de-France, Martinique;Fort-de-France, Martinique France;14.6060576;-61.069884;;;;;;;
Cayenne, Guyane;Cayenne, Guyane France;4.9379774;-52.3354386;;;;;;;
Dunkerque;Dunkerque France;51.0343684;2.3767763;;;4000;;;;
Saint-Nazaire;Saint-Nazaire France;47.2734979;-2.213848;15000;;12000;;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-19-janvier-les-manifestations-a-nantes-saint-nazaire-1d16eb5a-9750-11ed-8634-d0413f2d7cce
Bourges;Bourges France;47.081012;2.398782;;;4200;;;;https://france3-regions.francetvinfo.fr/centre-val-de-loire/des-manifestations-d-ampleur-inedite-contre-la-reforme-des-retraites-en-centre-val-de-loire-2697054.html
Valence;Valence France;44.933393;4.89236;15000;;9200;;;;
Alençon;Alençon France;48.432856;0.091266;3500;;2800;;;;
Guéret;Guéret France;46.169599;1.871452;4100;;5000;;France Bleu;;https://www.francebleu.fr/infos/societe/creuse-plus-de-2000-manifestants-dans-la-rue-contre-la-reforme-des-retraites-5513309
Alès;Alès France;44.127204;4.083352;12000;;7000;;;;https://www.francebleu.fr/infos/economie-social/reforme-des-retraites-entre-7-000-et-12-000-manifestants-a-ales-dans-le-gard-1755847
Bagnols-sur-Cèze;Bagnols-sur-Cèze France;44.16252;4.620075;2000;CGT;;;;;
Tulle;Tulle France;45.26565;1.771697;;;4000;;;;https://www.francebleu.fr/infos/societe/direct-reforme-des-retraites-suivez-la-mobilisation-en-haute-vienne-et-en-correze-4939207
Coutances;Coutances France;49.047808;-1.4452609;;;;1500;France Bleu;;https://www.francebleu.fr/infos/economie-social/reforme-des-retraites-une-premiere-journee-de-mobilisation-tres-suivie-dans-la-manche-5384040
Saintes;Saintes France;45.744175;-0.633389;;;3000;;;;https://www.francebleu.fr/infos/economie-social/reforme-des-retraites-plusieurs-milliers-de-manifestants-dans-les-deux-charentes-3567937
Quimper;Quimper France;47.997542;-4.097899;16000;;13000;;;;https://twitter.com/BzhFep/status/1616017731786256388?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1616017731786256388%7Ctwgr%5Ea1653270bfd4a2c4f0aace43d489ea92e956dc47%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fbo-pic-regions.francetelevisions.tv%2F
Cholet;Cholet France;47.059407;-0.879787;;;;5000;Courrier de l'Ouest;;
Saumur;Saumur France;47.260135;-0.080893;;;2100;;;;https://www.ouest-france.fr/economie/retraites/reforme-des-retraites-greve-du-19-janvier-les-manifestations-dans-le-maine-et-loire-3310d6f8-9711-11ed-8634-d0413f2d7cce#live_post_1216782705 
Niort;Niort France;46.323716;-0.464777;8000;CGT;5500;7000;Courrier de l'Ouest;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-les-manifestations-dans-les-grandes-villes-des-deux-sevres-d227070e-971a-11ed-816c-f199c789eb53#live_post_1216783321 
Lisieux;Lisieux France;49.145922;0.227849;;;1700;;;;https://www.ouest-france.fr/economie/retraites/reforme-des-retraites-plusieurs-centaines-de-personnes-rassemblees-a-lisieux-ce-jeudi-19-janvier-b5f3b5ae-97d4-11ed-ab80-3e6a8899576a
Granville;Granville France;48.837579;-1.597302;;;;1500;Ouest-France;;https://www.ouest-france.fr/economie/retraites/greve-du-19-janvier-contre-la-reforme-des-retraites-ils-se-mobilisent-a-granville-89beaf4e-97d8-11ed-b3d5-273349710fc9
Saint-Lô;Saint-Lô France;49.1154686;-1.0828136;;;;1500;Ouest-France;;https://www.ouest-france.fr/economie/retraites/greve-du-19-janvier-a-saint-lo-de-nombreux-manifestants-contre-la-reforme-des-retraites-fd60508c-97d4-11ed-b3d5-273349710fc9
Laval;Laval France;48.0785146;-0.7669906;;;;8000;France Bleu;;https://twitter.com/bleumayenne/status/1616020829686439936
Dieppe;Dieppe France;49.922992;1.077483;;;4200;;;;
Thouars;Thouars France;46.976154;-0.216803;2000;;1400;;;;
Saint-Malo;Saint-Malo France;48.649337;-2.025674;3000;;2800;;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-19-janvier-les-manifestations-a-rennes-saint-malo-6c734016-9739-11ed-8634-d0413f2d7cce#live_post_1216783232
