Ville;pays;adresse_full;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;participants_occurrence;description_libre;lien
Rouen;France;Rouen France;9500;;4500;;;;;https://www.paris-normandie.fr/id405322/article/2023-04-13/direct-reforme-des-retraites-suivez-lacte-xii-de-la-mobilisation-en-normandie
Albi;France;Albi France;7000;;1500;3000;;;;https://lopinion.com/articles/actualite/17441_retraites-7000-manifestants-albi-cgt / https://www.lejournaldici.com/actualite/a-la-une/reforme-des-retraites-entre-1-800-et-3-000-personnes-dans-la-rue
Perpignan;France;Perpignan France;5000;FO;3000;;Actu Occitanie;;;https://actu.fr/societe/manifestations-blocages-suivez-la-douzieme-journee-de-mobilisation-en-occitanie_58893541.html
Valence;France;Valence France;5000;FO;2600;;Le Dauphiné Libéré;;;https://www.ledauphine.com/social/2023/04/13/greve-et-manifestations-en-drome-ardeche-suivez-les-mobilisations-dans-nos-villes#4eba4f76-477d-465c-92ed-2869d0740745
Poitiers;France;Poitiers France;6000;intersyndicale;2000;;La Nouvelle République;;;https://www.lanouvellerepublique.fr/poitiers/mobilisation-contre-la-reforme-des-retraites-la-manifestation-demarre-a-poitiers
Amiens;France;Amiens France;8000;intersyndicale;1500;;France Bleu;;;https://www.francebleu.fr/infos/economie-social/manifestation-contre-la-reforme-des-retraites-la-mobilisation-en-baisse-a-amiens-3380051
Le Mans;France;Le Mans France;5000;intersyndicale;3800;;Actu Le Mans;;;https://actu.fr/pays-de-la-loire/le-mans_72181/greve-du-13-avril-suivez-les-manifestations-en-sarthe-contre-la-reforme-des-retraites_58894738.html
La Roche-sur-Yon;France;La Roche-sur-Yon France;3000;intersyndicale;1300;;Ouest France;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-suivez-la-douzieme-journee-de-mobilisation-en-vendee-89f0d52e-d945-11ed-b175-4c5fc605e272
Foix;France;Foix France;5000;;1600;;;;;https://www.ladepeche.fr/2023/04/13/reforme-des-retraites-la-manifestation-marquee-par-un-leger-incident-a-rassemble-entre-1-600-et-5-000-ariegeois-11131520.php#
Béziers;France;Béziers France;4000;intersyndicale;1800;;Actu Occitanie;;;https://actu.fr/societe/manifestations-blocages-suivez-la-douzieme-journee-de-mobilisation-en-occitanie_58893541.html
