Ville;pays;adresse_full;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;participants_occurrence;description_libre;lien
Valenciennes;France;Valenciennes France;;;;2000;La Voix du Nord;;;https://www.lavoixdunord.fr/1315823/article/2023-04-13/les-trois-infos-regionales-12e-journee-de-mobilisation-deux-blesses-par-balles
Calais;France;Calais France;;;;1000;La Voix du Nord;;;https://www.lavoixdunord.fr/1315503/article/2023-04-13/direct-retraites-derniere-mobilisation-ce-jeudi-la-veille-du-verdict-du-conseil
Douai;France;Douai France;;;;1000;L'Observateur;;;https://www.lobservateur.fr/douai-1-000-manifestants-a-la-veille-de-la-decision-du-conseil-constitutionnel/
Bourg-en-Bresse;France;Bourg-en-Bresse France;3500;intersyndicale;1600;;Le Progrès;;;https://www.leprogres.fr/social/2023/04/13/encore-1-900-manifestants-bravent-les-vacances-pour-battre-le-pave
Ancenis;France;Ancenis France;2000;CGT;;1600;Ouest-France;;;https://www.ouest-france.fr/economie/retraites/video-a-ancenis-environ-1600-manifestants-lors-de-cette-douzieme-mobilisation-contre-la-reforme-des-retraites-d0defab1-6e5a-40cc-a4ad-48af9d53f489
Figeac;France;Figeac France;;;;;;;;
Compiègne;France;Compiègne France;;;;1200;Courrier Picard;;;https://www.courrier-picard.fr/id405306/article/2023-04-13/retraites-suivez-en-direct-la-mobilisation-en-picardie-ce-jeudi-13-avril
Digne-les-Bains;France;Digne-les-Bains France;4000;intersyndicale;;1400;La Provence;;;https://www.laprovence.com/article/politique/3089245328888415/direct-laprovence-direct-reforme-des-retraites-nouvelle-journee-de-mobilisation-avant-la-decision-du-conseil-constitutionnel
Cahors;France;Cahors France;;;;;;;;
Saint-Malo;France;Saint-Malo France;;;;;;;;
Vesoul;France;Vesoul France;;;;;;;;
Lisieux;France;Lisieux France;;;;;;;;
Bergerac;France;Bergerac France;1200;CGT;750;;Sud Ouest;;;https://www.sudouest.fr/economie/reforme-des-retraites/greve-du-13-avril-1-600-manifestants-a-perigueux-contre-la-reforme-des-retraites-14777796.php
Chateaubriant;France;Chateaubriant France;850;intersyndicale;;700;Ouest-France;;;https://www.ouest-france.fr/economie/retraites/direct-manifestations-du-13-avril-rassemblements-blocages-a-nantes-saint-nazaire-5969c472-d924-11ed-a8f2-3d52644ec35b
Laon;France;Laon France;;;;;;;;
Fougères;France;Fougères France;;;;;;;;
Thouars;France;Thouars France;;;;;;;;
Gien;France;Gien France;550;CGT;500;535;La République du Centre;;;https://www.larep.fr/orleans-45000/actualites/reforme-des-retraites-douzieme-journee-de-mobilisation-dans-le-loiret-suivez-notre-direct_14293839/
Mamoudzou;France;Mamoudzou France;;;;;;;;
Nevers;France;Nevers France;;;;1200;Le Journal du Centre;;;https://www.lejdc.fr/nevers-58000/actualites/suivez-en-direct-la-douzieme-journee-de-mobilisation-contre-la-reforme-des-retraites-a-nevers_14293914/
Auxerre;France;Auxerre France;;;;;;;;
Saint-Denis, La Réunion;France;Saint-Denis, La Réunion France;;;;;;;;
Saumur;France;Saumur France;1000;;700;;;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-suivez-les-manifestations-du-13-avril-dans-le-maine-et-loire-8651cd28-d90f-11ed-a8f2-3d52644ec35b
Saint-Dizier;France;Saint-Dizier France;;;;;;;;
Chaumont;France;Chaumont France;;;;;;;;
Langres;France;Langres France;400;intersyndicale;;;JHM;;;https://jhm.fr/quatre-cents-manifestants-et-500-petards-plus-tard/
Eu;France;Eu France;;;;400;Le Courrier picard;;;https://www.courrier-picard.fr/id405306/article/2023-04-13/retraites-suivez-en-direct-la-mobilisation-en-picardie-ce-jeudi-13-avril
Marmande;France;Marmande France;;;;;;;;
Sarlat;France;Sarlat France;2500;;;1600;Sud Ouest;;;https://www.sudouest.fr/economie/reforme-des-retraites/greve-du-13-avril-1-600-manifestants-a-perigueux-contre-la-reforme-des-retraites-14777796.php
Vitré;France;Vitré France;;;;;;;;
Aix-en-Provence;France;Aix-en-Provence France;;;;;;;;
Basse-Terre, Guadeloupe;France;Basse-Terre, Guadeloupe France;;;;;;;;
Fort-de-France, Martinique;France;Fort-de-France, Martinique France;;;;;;;;
Cayenne, Guyane;France;Cayenne, Guyane France;;;;;;;;
Chartres;France;Chartres France;1500;CFDT;1200;1400;L'Echo Républicain;;;https://www.lechorepublicain.fr/chartres-28000/actualites/manifestation-a-chartres-il-faut-continuer-de-se-battre-tant-que-la-reforme-des-retraites-n-est-pas-retiree_14294103/
Ajaccio;France;Ajaccio France;;;;;;;;
Bastia;France;Bastia France;1000;;;600;France 3;;;https://france3-regions.francetvinfo.fr/corse/haute-corse/grand-bastia/reforme-des-retraites-600-personnes-manifestent-a-bastia-pour-cette-douzieme-journee-de-mobilisation-2752942.html
Soissons;France;Soissons France;;;;;;;;
Chateau-Thierry;France;Chateau-Thierry France;;;;;;;;
Maubeuge;France;Maubeuge France;;;;500;La Voix du Nord;;;https://www.lavoixdunord.fr/1315503/article/2023-04-13/direct-retraites-derniere-mobilisation-ce-jeudi-la-veille-du-verdict-du-conseil
Thouars;France;Thouars France;;;;;;;;
Saint-Omer;France;Saint-Omer France;;;;550;La Voix du Nord;;;https://www.lavoixdunord.fr/1315503/article/2023-04-13/direct-retraites-derniere-mobilisation-ce-jeudi-la-veille-du-verdict-du-conseil
Bressuire;France;Bressuire France;;;;;;;;
Ploërmel;France;Ploërmel France;;;;500;Ouest France;;;https://www.ouest-france.fr/economie/retraites/direct-manifestation-du-13-avril-suivez-la-journee-de-mobilisation-a-lorient-a-vannes-a-pontivy-d68ce3a0-d841-11ed-8d82-b6c0f24c6e0e
Dax;France;Dax France;;;;;;;;
Pont-Audemer;France;Pont-Audemer France;;;;;;;;
Mayenne;France;Mayenne France;;;;;;;;
Le Creusot;France;Le Creusot France;;;;;;;;
Montceau-les-Mines;France;Montceau-les-Mines France;;;;1000;Le Journal de Saône-et-Loire;;;https://www.lejsl.com/social/2023/04/13/1000-manifestants-contre-les-retraites-(en-images)
Thonon-les-Bains;France;Thonon-les-Bains France;;;;;;;;
Montbard;France;Montbard France;1000;;;;;;;https://www.bienpublic.com/social/2023/04/13/apres-trois-mois-de-mobilisation-de-nouvelles-manifestations-ce-jeudi-13-avril-en-cote-d-or-a-dijon-beaune-et-montbard#8612aed5-94ba-41c8-a41a-c7bcf442e968
La Tour du Pin;France;La Tour du Pin France;;;;;;;;
Cluny;France;Cluny France;;;;;;;;
Clermont l'Hérault;France;Clermont l'Hérault France;;;;;;;;
