Ville;adresse_full;Latitude;Longitude;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;description_libre;lien
Vesoul;Vesoul France;47.619788;6.15428;2500;Intersyndicale;1500;;;;https://www.estrepublicain.fr/social/2023/02/11/reforme-des-retraites-acte-iv-de-la-mobilisation-en-franche-comte-suivez-la-journee-avec-nous
Narbonne;Narbonne France;43.184277;3.003078;7500;CGT;6000;;;;https://www.lindependant.fr/2023/02/11/aude-reforme-des-retraites-quatrieme-journee-de-mobilisation-a-narbonne-et-carcassonne-10992014.php
Lisieux;Lisieux France;49.145922;0.227849;;;;;;;
Saint-Lô;Saint-Lô France;49.1154686;-1.0828136;;;2000;3000;Ouest-France;;
Montargis;Montargis France;47.99729;2.736291;4000;Intersyndicale;1900;;;;
Sète;Sète France;43.4078758;3.7008219;;;;;;;
Carhaix;Carhaix France;48.275584;-3.574188;2700;Intersyndicale;2500;;;;
Bergerac;Bergerac France;44.853806;0.483392;2200;;1600;;;;
Sens;Sens France;48.20065;3.28268;;;;;;;
Chateaubriant;Chateaubriant France;47.720948;-1.3762239;;;;;;;
Laon;Laon France;49.564133;3.61989;;;;;;;
Aurillac;Aurillac France;44.930953;2.444997;5000;FO;2500;;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/reforme-des-retraites-4e-journee-d-action-les-syndicats-veulent-frapper-un-grand-coup-ce-samedi_14261338/
Coutances;Coutances France;49.047808;-1.4452609;;;;;;;
Romorantin;Romorantin France;47.3725911;1.7018261;;;;;;;
Fougères;Fougères France;48.3515609;-1.204626;;;;;;;
Mende;Mende France;44.517611;3.501873;;;2000;;;;
Thouars;Thouars France;46.976154;-0.216803;;;;;;;
Gien;Gien France;47.6374513;2.7371902;1000;;1000;;;;
Granville;Granville France;48.837579;-1.597302;;;;;;;
Mamoudzou;Mamoudzou France;-12.78064;45.2326964;;;;;;;
Chambéry;Chambéry France;45.564601;5.917781;10000;;6500;;;;
Evreux;Evreux France;49.027013;1.151361;;;;;;;
Toulon;Toulon France;43.124228;5.928;20000;;10000;;;;
Troyes;Troyes France;48.2924465;4.041115;;;;;;;
Verdun;Verdun France;49.1598764;5.3844231;;;1100;;;;
Dunkerque;Dunkerque France;51.0343684;2.3767763;3500;;;;;;
Nevers;Nevers France;46.990896;3.162845;;;;;;;
Cholet;Cholet France;47.059407;-0.879787;5000;;4200;;;;
Dinan;Dinan France;48.454366;-2.047327;5200;CGT;;;;;
Auxerre;Auxerre France;47.798202;3.573781;;;;;;;
Saint-Denis, La Réunion;Saint-Denis, La Réunion France;-20.8906596;55.4550536;2500;;2000;;;;https://la1ere.francetvinfo.fr/reunion/a-saint-denis-et-saint-pierre-deux-nouvelles-manifestations-contre-la-reforme-des-retraites-1365738.html
Saumur;Saumur France;47.260135;-0.080893;3500;;2500;;;;
Saint-Gaudens;Saint-Gaudens France;43.106895;0.723763;2400;;;;;;
Saint-Dizier;Saint-Dizier France;48.637692;4.947418;;;850;1500;;;https://jhm.fr/live-manifestations-reforme-retraite-11-fevrier-haute-marne/
Chaumont;Chaumont France;48.113748;5.1392559;;;;2000;;;https://jhm.fr/live-manifestations-reforme-retraite-11-fevrier-haute-marne/
Châlons-en-Champagne;Châlons-en-Champagne France;48.956682;4.363073;1600;;1500;;;;
Epernay;Epernay France;49.043411;3.956242;;;;;;;
Langres;Langres France;47.86683;5.334297;;;;;;;
Bar-le-Duc;Bar-le-Duc France;48.773605;5.158238;;;;;;;
Bar-le-Duc;Bar-le-Duc France;48.773605;5.158238;;;;;;;
Privas;Privas France;44.735269;4.599039;;;;;;;
Argentan;Argentan France;48.744001;-0.016566;1500;;1200;;;;
Eu;Eu France;50.04887;1.419597;;;;;;;
Marmande;Marmande France;44.500484;0.159869;;;;;;;
Sarlat;Sarlat France;44.890891;1.217292;;;;1000;Sud Ouest;;
Vitré;Vitré France;48.12474599999999;-1.21543;;;;;;;
Brest;Brest France;48.390394;-4.486076;35000;Intersyndicale;13800;20000;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-suivez-les-manifestations-du-11-fevrier-a-brest-quimper-et-morlaix-70edeb7a-a934-11ed-8143-2a8717a808f3
Aix-en-Provence;Aix-en-Provence France;43.529742;5.447427;3000;;2000;;;;https://www.lamarseillaise.fr/accueil/les-manifestations-du-11-fevrier-en-direct-AH13272354
Basse-Terre, Guadeloupe;Basse-Terre, Guadeloupe France;15.9965719;-61.7317215;;;;;;;
Fort-de-France, Martinique;Fort-de-France, Martinique France;14.6060576;-61.069884;;;;;;;
Cayenne, Guyane;Cayenne, Guyane France;4.9379774;-52.3354386;;;;;;;
Guéret;Guéret France;46.169599;1.871452;;;4000;;;;
Saintes;Saintes France;45.744175;-0.633389;4000;;3300;3000;Sud Ouest;;https://www.sudouest.fr/economie/reforme-des-retraites/manifestation-du-11-fevrier-en-charente-maritime-un-regain-de-mobilisation-contre-la-reforme-des-retraites-14020772.php
Belfort;Belfort France;47.639674;6.863849;4000;Intersyndicale;2600;;;;
Abbeville;Abbeville France;50.105467;1.836833;;;;;;;
Cambrai;Cambrai France;50.173538;3.236633;2500;Intersyndicale;2000;;;;
Arras;Arras France;50.291002;2.777535;;;;;;;
Vannes;Vannes France;47.658236;-2.760847;12000;CGT;;;;;
La Rochelle;La Rochelle France;46.160329;-1.151139;;;;;;;
Rochefort;Rochefort France;45.936698;-0.961697;;;;3000;Sud Ouest;;https://www.sudouest.fr/economie/reforme-des-retraites/manifestation-du-11-fevrier-en-charente-maritime-un-regain-de-mobilisation-contre-la-reforme-des-retraites-14020772.php
Lorient;Lorient France;47.7482524;-3.3702449;15000;Intersyndicale;;;;;
Quimperlé;Quimperlé France;47.872586;-3.547546;6000;Intersyndicale;;;;;https://www.letelegramme.fr/finistere/quimperle/plus-de-6-000-personnes-contre-la-reforme-des-retraites-a-quimperle-11-02-2023-13277172.php
Lons-le-Saunier;Lons-le-Saunier France;46.671361;5.550796;;;;;;;
Brive;Brive France;45.159555;1.533937;7500;CGT;3000;;;;https://www.lamontagne.fr/brive-la-gaillarde-19100/actualites/nouvelle-forte-mobilisation-contre-la-reforme-des-retraites-dans-les-rues-de-brive-ce-samedi-matin_14261391/
Ussel;Ussel France;45.548905;2.313835;;;;;;;
Chartres;Chartres France;48.443854;1.489012;;;;;;;
Auch;Auch France;43.64638;0.586709;;;;;;;
Saint-Jean-de-Maurienne;Saint-Jean-de-Maurienne France;45.275403;6.344886;;;;;;;
Ajaccio;Ajaccio France;41.919229;8.738635;;;;;;;
Bastia;Bastia France;42.697283;9.450881;;;;;;;
Albi;Albi France;43.9250853;2.1486413;;;;;;;
Gap;Gap France;44.566667;6.083333;5000;Intersyndicale;3000;;;;https://www.ledauphine.com/social/2023/02/11/greve-a-gap-et-briancon-une-mobilisation-en-hausse-attendue
Guingamp;Guingamp France;48.561864;-3.151869;4200;;3800;;;;
Soissons;Soissons France;49.376636;3.32342;;;;;;;
Chateau-Thierry;Chateau-Thierry France;49.0459869;3.40262;;;;1300;;;https://www.lunion.fr/id455399/article/2023-02-11/quatrieme-journee-de-mobilisation-contre-la-reforme-des-retraites-dans-laisne-et
Maubeuge;Maubeuge France;50.280228;3.9674;;;;;;;
Thouars;Thouars France;46.976154;-0.216803;;;;;;;
Pontivy;Pontivy France;48.066152;-2.967056;6500;Intersyndicale;;;;;
Foix;Foix France;42.964127;1.605232;;;;;;;
Saint-Omer;Saint-Omer France;50.750115;2.252208;7000;CFDT;4500;;;;
Bressuire;Bressuire France;46.84246;-0.492866;;;;;;;
Vendôme;Vendôme France;47.792551;1.065343;;;;;;;
Ploërmel;Ploërmel France;47.929254;-2.396846;;;;1300;Ouest-France;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-suivez-les-manifestations-du-11-fevrier-a-vannes-lorient-pontivy-0b8d7174-a96b-11ed-8143-2a8717a808f3
Saint-Pierre, La Réunion;Saint-Pierre, La Réunion France;-21.3408775;55.4776663;1800;;1200;;;;https://la1ere.francetvinfo.fr/reunion/a-saint-denis-et-saint-pierre-deux-nouvelles-manifestations-contre-la-reforme-des-retraites-1365738.html
Cannes;Cannes France;43.552847;7.017369;3000;Intersyndicale;900;;;;
Fontenay-le-Comte;Fontenay-le-Comte France;46.465972;-0.8065;1200;;1200;;;;
Mâcon;Mâcon France;46.3068839;4.828730999999999;4000;CGT;2000;;;;
Dax;Dax France;43.708608;-1.051945;4500;Intersyndicale;3500;;;;https://www.francebleu.fr/infos/economie-social/direct-des-centaines-de-landais-sur-le-parvis-de-la-gare-a-dax-contre-la-reforme-des-retraites-7769827
Pont-Audemer;Pont-Audemer France;49.354883;0.5142989;;;;;;;
